Transaction_Date,Particulars,Deposits
2024-01-01,POS Machine,4129.83
2024-01-01,Google Pay,6966.0
2024-01-02,POS Machine,1421.06
2024-01-02,Google Pay,8868.0
2024-01-03,Swiggy,11311.53
2024-01-03,Swiggy,690.27
2024-01-04,Google Pay,6343.0
2024-01-04,Google Pay,4935.0
2024-01-05,POS Machine,357.22
2024-01-05,Google Pay,7519.0
2024-01-07,Google Pay,9513.0
2024-01-07,Google Pay,10053.0
2024-01-08,POS Machine,3122.63
2024-01-09,Google Pay,4802.0
2024-01-09,Google Pay,5190.0
2024-01-10,POS Machine,1305.15
2024-01-10,Swiggy,997.05
2024-01-10,Swiggy,3074.0
2024-01-10,Google Pay,5175.0
2024-01-11,POS Machine,1183.65
2024-01-12,Google Pay,5750.0
2024-01-12,POS Machine,570.82
2024-01-13,Google Pay,6036.0
2024-01-13,POS Machine,1132.54
2024-01-13,Google Pay,5588.0
2024-01-15,Google Pay,5763.0
2024-01-15,POS Machine,2503.01
2024-01-15,Google Pay,10593.0
2024-01-16,POS Machine,817.48
2024-01-17,Google Pay,3040.0
2024-01-17,POS Machine,1470.0
2024-01-17,Swiggy,774.64
2024-01-17,Swiggy,4581.61
2024-01-17,Google Pay,7391.0
2024-01-18,POS Machine,758.11
2024-01-19,Google Pay,7142.0
2024-01-19,POS Machine,474.34
2024-01-19,Google Pay,5733.0
2024-01-20,POS Machine,275.5
2024-01-20,Google Pay,7572.0
2024-01-21,Google Pay,8267.0
2024-01-22,POS Machine,505.57
2024-01-22,Google Pay,8622.0
2024-01-23,Swiggy,1499.43
2024-01-23,Swiggy,5207.77
2024-01-23,Google Pay,3604.0
2024-01-24,POS Machine,709.55
2024-01-24,Google Pay,7167.0
2024-01-25,Google Pay,3827.0
2024-01-27,Google Pay,7817.0
2024-01-27,POS Machine,466.76
2024-01-27,Google Pay,10659.0
2024-01-28,Google Pay,6394.0
2024-01-29,POS Machine,2098.54
2024-01-30,Google Pay,4918.0
2024-01-30,POS Machine,1689.66
2024-01-30,Swiggy,870.5
2024-01-30,Google Pay,6060.0
2024-01-30,Swiggy,3468.23
2024-01-31,POS Machine,2159.05
2024-01-31,Google Pay,3437.0
2024-02-01,Google Pay,2121.0
2024-02-02,Google Pay,8290.0
2024-02-03,POS Machine,1207.95
2024-02-03,Google Pay,10441.0
2024-02-03,Swiggy,3714.08
2024-02-04,Swiggy,464.01
2024-02-04,Google Pay,10242.0
2024-02-05,POS Machine,1495.09
2024-02-05,Google Pay,4724.0
2024-02-06,POS Machine,372.83
2024-02-06,Google Pay,4639.0
2024-02-07,POS Machine,1605.74
2024-02-07,Google Pay,7417.0
2024-02-08,POS Machine,377.89
2024-02-08,Swiggy,4384.32
2024-02-08,Swiggy,598.24
2024-02-08,Google Pay,4511.0
2024-02-09,Google Pay,12113.0
2024-02-10,Google Pay,8979.0
2024-02-11,Google Pay,6882.0
2024-02-12,POS Machine,1318.62
2024-02-12,Google Pay,1864.0
2024-02-13,POS Machine,1354.93
2024-02-13,Google Pay,6338.0
2024-02-14,POS Machine,1798.77
2024-02-14,Swiggy,1871.42
2024-02-14,Swiggy,1932.78
2024-02-14,Google Pay,9049.0
2024-02-15,POS Machine,954.99
2024-02-15,Google Pay,7249.0
2024-02-16,Google Pay,3228.0
2024-02-17,POS Machine,1097.04
2024-02-18,Google Pay,8090.0
2024-02-18,Google Pay,6097.0
2024-02-19,POS Machine,2694.88
2024-02-19,Google Pay,6874.0
2024-02-20,POS Machine,950.62
2024-02-20,Google Pay,4958.0
2024-02-21,Swiggy,885.86
2024-02-21,Swiggy,5616.8
2024-02-21,Google Pay,4081.0
2024-02-22,Google Pay,7717.0
2024-02-23,Google Pay,9126.0
2024-02-24,POS Machine,8220.95
2024-02-24,Google Pay,8631.0
2024-02-25,Google Pay,10174.0
2024-02-26,POS Machine,2401.49
2024-02-26,Google Pay,3147.0
2024-02-27,POS Machine,460.13
2024-02-27,Google Pay,8525.0
2024-02-28,Swiggy,2778.94
2024-02-28,POS Machine,441.99
2024-02-28,Google Pay,10752.0
2024-02-29,Google Pay,3963.0
2024-03-01,Google Pay,9496.0
2024-03-02,POS Machine,2191.99
2024-03-02,Google Pay,14412.0
2024-03-03,Google Pay,12978.0
2024-03-04,POS Machine,2050.14
2024-03-04,Google Pay,2912.0
2024-03-05,Swiggy,6557.51
2024-03-05,Google Pay,5724.0
2024-03-06,POS Machine,562.18
2024-03-06,Google Pay,3588.0
2024-03-07,POS Machine,565.0
2024-03-07,Google Pay,8961.0
2024-03-08,POS Machine,435.05
2024-03-08,Google Pay,7243.0
2024-03-09,POS Machine,746.0
2024-03-09,Google Pay,8717.0
2024-03-10,Google Pay,8736.0
2024-03-11,POS Machine,2291.79
2024-03-11,Google Pay,3443.0
2024-03-12,POS Machine,895.86
2024-03-12,Google Pay,5200.0
2024-03-13,POS Machine,446.0
2024-03-13,Swiggy,7964.56
2024-03-13,Google Pay,4277.0
2024-03-14,Google Pay,2728.0
2024-03-15,Google Pay,6507.0
2024-03-16,POS Machine,285.87
2024-03-16,Google Pay,5572.0
2024-03-17,Google Pay,8734.0
2024-03-18,POS Machine,1446.44
2024-03-18,Google Pay,3883.0
2024-03-19,Google Pay,5152.0
2024-03-20,Swiggy,6908.83
2024-03-20,Google Pay,4489.0
2024-03-21,Google Pay,6177.0
2024-03-22,POS Machine,221.25
2024-03-22,Google Pay,6357.0
2024-03-23,POS Machine,725.17
2024-03-23,Google Pay,13038.0
2024-03-24,Google Pay,4521.0
2024-03-25,Google Pay,3374.0
2024-03-26,POS Machine,534.15
2024-03-26,Google Pay,6193.0
2024-03-27,POS Machine,430.42
2024-03-27,Swiggy,5913.44
2024-03-27,Google Pay,3960.0
2024-03-28,POS Machine,251.6
2024-03-28,Google Pay,4923.0
2024-03-29,Google Pay,5650.0
2024-03-30,POS Machine,1030.65
2024-03-30,Google Pay,4643.0
2024-03-31,Google Pay,11553.0
2024-04-01,POS Machine,215.0
2024-04-01,Google Pay,3266.0
2024-04-02,POS Machine,1107.0
2024-04-02,Google Pay,7352.0
2024-04-03,POS Machine,622.28
2024-04-03,Google Pay,7553.0
2024-04-04,POS Machine,1843.27
2024-04-04,Swiggy,10468.64
2024-04-04,Google Pay,4680.0
2024-04-05,Google Pay,12164.0
2024-04-06,POS Machine,825.9
2024-04-06,Google Pay,7491.0
2024-04-07,Google Pay,9840.0
2024-04-08,Google Pay,8853.0
2024-04-09,Google Pay,6470.0
2024-04-10,POS Machine,3510.62
2024-04-10,Swiggy,9234.38
2024-04-10,Google Pay,16753.0
2024-04-11,POS Machine,448.55
2024-04-11,Google Pay,15694.0
2024-04-12,Google Pay,9220.0
2024-04-13,POS Machine,993.98
2024-04-13,Google Pay,15075.0
2024-04-14,Google Pay,14984.0
2024-04-15,POS Machine,4874.01
2024-04-15,Google Pay,5285.0
2024-04-16,POS Machine,6273.55
2024-04-16,Google Pay,8469.0
2024-04-17,POS Machine,2162.82
2024-04-17,Swiggy,7041.53
2024-04-17,Google Pay,8771.0
2024-04-18,Google Pay,6968.0
2024-04-19,POS Machine,1190.72
2024-04-19,Google Pay,12891.0
2024-04-20,POS Machine,429.44
2024-04-20,Google Pay,6289.0
2024-04-21,Google Pay,10795.0
2024-04-22,POS Machine,5164.08
2024-04-22,Google Pay,5930.0
2024-04-23,Google Pay,5941.0
2024-04-24,POS Machine,3552.23
2024-04-24,Swiggy,9706.88
2024-04-24,Google Pay,9949.0
2024-04-25,Google Pay,14080.0
2024-04-26,Google Pay,6413.0
2024-04-27,Google Pay,16266.0
2024-04-28,Google Pay,6999.0
2024-04-29,POS Machine,2353.06
2024-04-29,Google Pay,10661.0
2024-04-30,POS Machine,503.21
2024-04-30,Google Pay,9665.0
2024-05-01,POS Machine,366.0
2024-05-01,Swiggy,16315.64
2024-05-01,Google Pay,4862.0
2024-05-02,POS Machine,381.81
2024-05-02,Google Pay,7073.0
2024-05-03,POS Machine,397.0
2024-05-03,Google Pay,7128.0
2024-05-04,POS Machine,312.32
2024-05-04,Swiggy,7428.24
2024-05-04,Google Pay,4161.0
2024-05-05,Google Pay,4336.0
2024-05-06,POS Machine,666.61
2024-05-06,Google Pay,10467.0
2024-05-07,Google Pay,8206.0
2024-05-08,Swiggy,5882.46
