year_month,Particulars,Deposits
2026-03,Google Pay,10906.0
2026-02,Google Pay,105530.0
2026-02,Pos Settlement,3887.0
2026-02,Swiggy,19348.0
2026-01,Google Pay,315084.0
2026-01,Pos Settlement,18004.640000000003
2026-01,Shajahan Pookodan,499.0
2026-01,Swiggy,58718.12
2026-01,Upi/Utib/974093880256/Google India Digital Service/Axi679B955D5747479Fbb628300E7Cdda63/Goog-Payments@,125.0
2025-12,Google Pay,336256.0
2025-12,Pos Settlement,27093.61
2025-12,Swiggy,36843.83
2025-12,Upi/Utib/663570953365/Google India Digital Service/Axibf07Dbeca45A4F808A0F616C368A79A0/Goog-Payments@,125.0
2025-12,Upi/Utib/924596173615/Google India Digital Service/Axi83D61A4E2F2F431C8Beba9Ebd5Db71D3/Goog-Payments@,125.0
2025-11,Google Pay,290693.0
2025-11,Pos Settlement,9257.6
2025-11,Refund 10-11-2025 85196086 Tec/,2270.0
2025-11,Swiggy,35274.399999999994
2025-10,Google Pay,287583.0
2025-10,Pos Settlement,27592.86
2025-10,Shajahan Pookodan,1121.0
2025-10,Swiggy,48024.979999999996
2025-09,Google Pay,295416.0
2025-09,Pos Settlement,25259.899999999998
2025-09,Swiggy,47337.219999999994
2025-09,Upi/Utib/530268112595/Google India Digital Service/Axi0143190F598D4A3Cbccde6Ee7527Fb7F/Goog-Payments@,125.0
2025-08,Google Pay,316472.0
2025-08,Pos Settlement,13953.759999999998
2025-08,Swiggy,43114.43000000001
2025-07,Google Pay,283081.0
2025-07,Pos Settlement,19355.16
2025-07,Swiggy,59081.94
2025-06,Abdul Latheef Koorik,889.0
2025-06,Google Pay,250800.0
2025-06,Pos Settlement,14393.0
2025-06,Swiggy,45021.1
2025-05,Google Pay,300074.0
2025-05,Pos Settlement,26078.960000000003
2025-05,Swiggy,50616.46000000001
2025-04,Google Pay,302001.0
2025-04,Pos Settlement,16150.13
2025-04,Swiggy,61531.48
2025-03,Google Pay,214070.0
2025-03,Pos Settlement,13462.19
2025-03,Refund 23-03-2025 80819384 Ibi/,798.0
2025-03,Swiggy,39141.810000000005
2025-02,Google Pay,209426.0
2025-02,Impsdap503902859074   08/02/25/,7609.0
2025-02,Pos Settlement,12408.419999999998
2025-02,Swiggy,37609.48
2025-01,Google Pay,266350.0
2025-01,Pos Settlement,23358.12
2025-01,Swiggy,47513.09
2024-12,Google Pay,307736.1
2024-12,POS Machine,29136.900000000005
2024-12,Swiggy,40218.619999999995
2024-11,Google Pay,305861.0
2024-11,POS Machine,17915.990000000005
2024-11,Swiggy,34736.75
2024-10,GOOGLE INDIA DIGITAL SERVICE,225.0
2024-10,Google Pay,277024.0
2024-10,POS Machine,17553.28
2024-10,SHAJAHAN POOKODAN,626.0
2024-10,Swiggy,35995.159999999996
2024-09,Google Pay,244260.39
2024-09,POS Machine,17347.95
2024-09,SHAJAHAN POOKODAN,935.0
2024-09,Swiggy,36319.34
2024-08,Google Pay,260504.0
2024-08,POS Machine,19333.22
2024-08,SHAJAHAN POOKODAN,834.0
2024-08,Swiggy,41118.67
2024-07,Google Pay,257901.0
2024-07,POS Machine,38979.18
2024-07,Swiggy,44179.799999999996
2024-06,Google Pay,264238.0
2024-06,POS Machine,24115.489999999994
2024-06,Swiggy,32301.15
2024-05,Google Pay,305364.0
2024-05,POS Machine,22410.769999999997
2024-05,Swiggy,62511.77
2024-04,Google Pay,284767.0
2024-04,POS Machine,36069.72
2024-04,Swiggy,36451.42999999999
2024-03,Google Pay,203141.0
2024-03,POS Machine,15109.560000000001
2024-03,Swiggy,27344.34
2024-02,Google Pay,200222.0
2024-02,POS Machine,26753.910000000003
