year_month,Date,Vendor_Name,Amount
2026-02,2026-02-04,BERRY FRESH,1580.0
2026-02,2026-02-23,BERRY FRESH,1300.0
2026-02,2026-02-16,Dhanalaxmi traders,2700.0
2026-02,2026-02-04,Essar Associates,4554.0
2026-02,2026-02-11,Essar Associates,2171.0
2026-02,2026-02-21,Essar Associates,2691.0
2026-02,2026-02-25,Essar Associates,2153.0
2026-02,2026-02-01,KTP Vegitables,238.0
2026-02,2026-02-02,KTP Vegitables,99.0
2026-02,2026-02-03,KTP Vegitables,168.0
2026-02,2026-02-05,KTP Vegitables,333.0
2026-02,2026-02-07,KTP Vegitables,158.0
2026-02,2026-02-09,KTP Vegitables,184.0
2026-02,2026-02-10,KTP Vegitables,248.0
2026-02,2026-02-15,KTP Vegitables,244.0
2026-02,2026-02-16,KTP Vegitables,144.0
2026-02,2026-02-19,KTP Vegitables,435.0
2026-02,2026-02-22,KTP Vegitables,455.0
2026-02,2026-02-23,KTP Vegitables,154.0
2026-02,2026-02-25,KTP Vegitables,407.0
2026-02,2026-02-27,KTP Vegitables,407.0
2026-02,2026-02-28,KTP Vegitables,277.0
2026-02,2026-02-06,Koonathil Traders,3580.0
2026-02,2026-02-14,Koonathil Traders,2192.0
2026-02,2026-02-20,Koonathil Traders,1721.0
2026-02,2026-02-27,Koonathil Traders,5835.0
2026-02,2026-02-27,Lakhsyam Foods,26377.0
2026-02,2026-02-01,Local Purchase,100.0
2026-02,2026-02-02,Local Purchase,2734.0
2026-02,2026-02-03,Local Purchase,465.0
2026-02,2026-02-05,Local Purchase,340.0
2026-02,2026-02-07,Local Purchase,388.0
2026-02,2026-02-08,Local Purchase,180.0
2026-02,2026-02-09,Local Purchase,810.0
2026-02,2026-02-10,Local Purchase,4231.0
2026-02,2026-02-11,Local Purchase,980.0
2026-02,2026-02-12,Local Purchase,180.0
2026-02,2026-02-13,Local Purchase,2296.0
2026-02,2026-02-14,Local Purchase,1074.0
2026-02,2026-02-15,Local Purchase,156.0
2026-02,2026-02-16,Local Purchase,718.0
2026-02,2026-02-17,Local Purchase,1740.0
2026-02,2026-02-18,Local Purchase,800.0
2026-02,2026-02-19,Local Purchase,266.0
2026-02,2026-02-21,Local Purchase,1577.0
2026-02,2026-02-22,Local Purchase,313.0
2026-02,2026-02-23,Local Purchase,2475.0
2026-02,2026-02-24,Local Purchase,729.0
