Date,Type,Item Type,Name,Order Quantity,Consumable Cheese per item,Total Consumable Cheese
2026-02-26,POS,item,7 Inch - Regular Pizza,5.0,,
2026-02-26,POS,item,9 Inch - Medium Pizza,4.0,,
2026-02-26,POS,item,French Fries,3.0,,
2026-02-26,Swiggy,item,7 Inch - Regular Pizza,3.0,,
2026-02-26,POS,item,Blue Mojito,2.0,,
2026-02-26,POS,item,Burger Combo @ 169,2.0,,
2026-02-26,POS,addon,7 Inch - Regular Pizza -Extra Cheese,1.0,,
2026-02-26,POS,item,12 Inch - Large Pizza,1.0,,
2026-02-26,POS,item,2 Medium Non-veg@759,1.0,,
2026-02-26,POS,item,2 Regular Non-veg@409,1.0,,
2026-02-26,POS,item,7up 250ml Pet,1.0,,
2026-02-26,POS,item,Brownie With Ice Cream,1.0,,
2026-02-26,POS,item,Burger Combo @ 179,1.0,,
2026-02-26,POS,item,Chicken Pasta,1.0,,
2026-02-26,POS,item,Coleslaw Salad,1.0,,
2026-02-26,POS,item,Fresh Lime Juice,1.0,,
2026-02-26,POS,item,Garlic Bread,1.0,,
2026-02-26,POS,item,Garlic Bread With Cheese,1.0,,
2026-02-26,POS,item,Loaded Fries,1.0,,
2026-02-26,POS,item,Mdew@40rs,1.0,,
2026-02-26,POS,item,Mineral Water,1.0,,
2026-02-26,POS,item,Nutty Vanilla,1.0,,
2026-02-26,POS,item,Pepsi 250ml Pet,1.0,,
2026-02-26,POS,item,Regular Chicken Burger,1.0,,
2026-02-26,POS,item,Soft Drink,1.0,,
2026-02-26,POS,item,Super Saver Meal Regular,1.0,,
2026-02-26,Swiggy,addon,7 Inch - Regular Pizza -Extra Cheese,1.0,,
2026-02-26,Swiggy,item,9 Inch - Medium Pizza,1.0,,
2026-02-26,Swiggy,item,Garlic Bread With Cheese,1.0,,
2026-02-26,Swiggy,item,Green Apple,1.0,,
2026-02-25,POS,item,9 Inch - Medium Pizza,6.0,,
2026-02-25,POS,item,7 Inch - Regular Pizza,5.0,,
2026-02-25,POS,item,Loaded Fries,3.0,,
2026-02-25,POS,item,Watermelon Juice,3.0,,
2026-02-25,Swiggy,item,7 Inch - Regular Pizza,3.0,,
2026-02-25,POS,item,2 Regular Non-veg@409,2.0,,
2026-02-25,POS,item,Regular Chicken Burger,2.0,,
2026-02-25,Swiggy,item,12 Inch - Large Pizza,2.0,,
2026-02-25,POS,item,7up@40rs,1.0,,
2026-02-25,POS,item,Burger Combo @ 179,1.0,,
2026-02-25,POS,item,Chicken Nuggets,1.0,,
2026-02-25,POS,item,French Fries,1.0,,
2026-02-25,POS,item,Green Apple,1.0,,
2026-02-25,POS,item,Mineral Water,1.0,,
2026-02-25,POS,item,Non Veg Meal For 4,1.0,,
2026-02-25,POS,item,Passion Fruit,1.0,,
2026-02-25,POS,item,Pepsi 250ml Pet,1.0,,
2026-02-25,POS,item,Soft Drink,1.0,,
2026-02-25,Swiggy,item,Roasted Chicken Salad,1.0,,
2026-02-25,Swiggy,item,Veg Pasta,1.0,,
2026-02-25,POS,item,9 Inch - Medium Pizza,6.0,,
2026-02-25,POS,item,7 Inch - Regular Pizza,5.0,,
2026-02-25,POS,item,Loaded Fries,3.0,,
2026-02-25,POS,item,Watermelon Juice,3.0,,
2026-02-25,Swiggy,item,7 Inch - Regular Pizza,3.0,,
2026-02-25,POS,item,2 Regular Non-veg@409,2.0,,
2026-02-25,POS,item,Regular Chicken Burger,2.0,,
2026-02-25,Swiggy,item,12 Inch - Large Pizza,2.0,,
2026-02-25,POS,item,7up@40rs,1.0,,
2026-02-25,POS,item,Burger Combo @ 179,1.0,,
2026-02-25,POS,item,Chicken Nuggets,1.0,,
2026-02-25,POS,item,French Fries,1.0,,
2026-02-25,POS,item,Green Apple,1.0,,
2026-02-25,POS,item,Mineral Water,1.0,,
2026-02-25,POS,item,Non Veg Meal For 4,1.0,,
2026-02-25,POS,item,Passion Fruit,1.0,,
2026-02-25,POS,item,Pepsi 250ml Pet,1.0,,
2026-02-25,POS,item,Soft Drink,1.0,,
2026-02-25,Swiggy,item,Roasted Chicken Salad,1.0,,
2026-02-25,Swiggy,item,Veg Pasta,1.0,,
2026-02-25,POS,item,9 Inch - Medium Pizza,6.0,,
2026-02-25,POS,item,7 Inch - Regular Pizza,5.0,,
2026-02-25,POS,item,Loaded Fries,3.0,,
2026-02-25,POS,item,Watermelon Juice,3.0,,
2026-02-25,Swiggy,item,7 Inch - Regular Pizza,3.0,,
2026-02-25,POS,item,2 Regular Non-veg@409,2.0,,
2026-02-25,POS,item,Regular Chicken Burger,2.0,,
2026-02-25,Swiggy,item,12 Inch - Large Pizza,2.0,,
2026-02-25,POS,item,7up@40rs,1.0,,
2026-02-25,POS,item,Burger Combo @ 179,1.0,,
2026-02-25,POS,item,Chicken Nuggets,1.0,,
2026-02-25,POS,item,French Fries,1.0,,
2026-02-25,POS,item,Green Apple,1.0,,
2026-02-25,POS,item,Mineral Water,1.0,,
2026-02-25,POS,item,Non Veg Meal For 4,1.0,,
2026-02-25,POS,item,Passion Fruit,1.0,,
2026-02-25,POS,item,Pepsi 250ml Pet,1.0,,
2026-02-25,POS,item,Soft Drink,1.0,,
2026-02-25,Swiggy,item,Roasted Chicken Salad,1.0,,
2026-02-25,Swiggy,item,Veg Pasta,1.0,,
2026-02-25,POS,item,9 Inch - Medium Pizza,6.0,,
2026-02-25,POS,item,7 Inch - Regular Pizza,5.0,,
2026-02-25,POS,item,Loaded Fries,3.0,,
2026-02-25,POS,item,Watermelon Juice,3.0,,
2026-02-25,Swiggy,item,7 Inch - Regular Pizza,3.0,,
