Date,Item,Opening_stock,Closing_stock,Actual,Expected,Difference
2026-02-26,cheese,25250.0,24000.0,1250.0,1205.0,45.0
2026-02-25,cheese,26600.0,25250.0,1350.0,1290.0,60.0
2026-02-25,cheese,26600.0,25250.0,1350.0,1290.0,60.0
2026-02-25,cheese,26600.0,25250.0,1350.0,1290.0,60.0
2026-02-25,cheese,26600.0,25250.0,1350.0,1290.0,60.0
2026-02-25,cheese,26600.0,25250.0,1350.0,1290.0,60.0
2026-02-24,cheese,27400.0,26600.0,800.0,785.0,15.0
2026-02-23,cheese,16500.0,15400.0,1100.0,1105.0,-5.0
2026-02-22,cheese,18700.0,16500.0,2200.0,2183.0,17.0
2026-02-22,cheese,18700.0,16500.0,2200.0,2183.0,17.0
2026-02-21,cheese,20850.0,18700.0,2150.0,2104.0,46.0
2026-02-20,cheese,22770.0,20850.0,1920.0,1870.0,50.0
2026-02-19,cheese,23700.0,22770.0,930.0,898.0,32.0
2026-02-18,cheese,25200.0,23700.0,1500.0,1465.0,35.0
2026-02-17,cheese,26800.0,25200.0,1600.0,1580.0,20.0
2026-02-16,cheese,16860.0,14800.0,2060.0,2028.0,32.0
2026-02-15,cheese,19500.0,16860.0,2640.0,2560.0,80.0
2026-02-14,cheese,22100.0,19500.0,2600.0,2605.0,-5.0
2026-02-13,cheese,23850.0,22100.0,1750.0,1705.0,45.0
2026-02-12,cheese,24900.0,23850.0,1050.0,1005.0,45.0
2026-02-11,cheese,25800.0,24900.0,900.0,885.0,15.0
2026-02-10,cheese,28300.0,25800.0,2500.0,2490.0,10.0
2026-02-10,cheese,28300.0,25800.0,2500.0,2490.0,10.0
2026-02-09,cheese,18400.0,16300.0,2100.0,2050.0,50.0
2026-02-08,cheese,20450.0,18400.0,2050.0,2058.0,-8.0
2026-02-07,cheese,22800.0,20450.0,2350.0,2300.0,50.0
2026-02-06,cheese,23900.0,22800.0,1100.0,1070.0,30.0
2026-02-05,cheese,26400.0,23900.0,2500.0,2470.0,30.0
2026-02-04,cheese,27700.0,26400.0,1300.0,1270.0,30.0
2026-02-03,cheese,29250.0,27700.0,1550.0,1560.0,-10.0
2026-02-03,cheese,29250.0,27700.0,1550.0,1560.0,-10.0
2026-02-02,cheese,18750.0,17250.0,1500.0,1513.0,-13.0
2026-02-01,cheese,21000.0,18750.0,2250.0,2100.0,150.0
2026-01-31,cheese,22550.0,21000.0,1550.0,1500.0,50.0
2026-01-30,cheese,24700.0,22550.0,2150.0,2115.0,35.0
2026-01-29,cheese,26950.0,24700.0,2250.0,2285.0,-35.0
2026-01-28,cheese,28550.0,26900.0,1650.0,1570.0,80.0
2026-01-28,cheese,28550.0,26950.0,1600.0,1570.0,30.0
2026-01-28,cheese,28550.0,26950.0,1600.0,1570.0,30.0
2026-01-27,cheese,29600.0,28550.0,1050.0,1020.0,30.0
2026-01-26,cheese,19700.0,17600.0,2100.0,2080.0,20.0
2026-01-25,cheese,22700.0,19700.0,3000.0,2965.0,35.0
2026-01-24,cheese,25550.0,22700.0,2850.0,2841.0,9.0
2026-01-23,cheese,26800.0,25550.0,1250.0,1225.0,25.0
2026-01-22,cheese,28300.0,26800.0,1500.0,1453.0,47.0
2026-01-21,cheese,30300.0,28300.0,2000.0,1940.0,60.0
2026-01-20,cheese,32100.0,30300.0,1800.0,1790.0,10.0
2026-01-19,cheese,9550.0,8100.0,1450.0,1405.0,45.0
2026-01-18,cheese,12300.0,9550.0,2750.0,2800.0,-50.0
2026-01-17,cheese,14000.0,12300.0,1700.0,1660.0,40.0
2026-01-16,cheese,15350.0,14000.0,1350.0,1330.0,20.0
2026-01-15,cheese,17700.0,15350.0,2350.0,2335.0,15.0
2026-01-14,cheese,19050.0,17700.0,1350.0,1365.0,-15.0
2026-01-13,cheese,20500.0,19050.0,1450.0,1465.0,-15.0
2026-01-12,cheese,23000.0,20500.0,2500.0,2470.0,30.0
2026-01-11,cheese,24500.0,23000.0,1500.0,1440.0,60.0
2026-01-11,cheese,24500.0,23000.0,1500.0,1440.0,60.0
2026-01-10,cheese,27600.0,24500.0,3100.0,3065.0,35.0
2026-01-09,cheese,29550.0,27600.0,1950.0,1910.0,40.0
2026-01-08,cheese,30700.0,29550.0,1150.0,1145.0,5.0
2026-01-07,cheese,32600.0,30700.0,1900.0,1910.0,-10.0
2026-01-06,cheese,34650.0,32600.0,2050.0,2070.0,-20.0
2026-01-05,cheese,11800.0,10650.0,1150.0,1145.0,5.0
2026-01-04,cheese,14500.0,11800.0,2700.0,2693.0,7.0
2026-01-03,cheese,16700.0,14500.0,2200.0,2240.0,-40.0
2026-01-02,cheese,18600.0,16700.0,1900.0,1810.0,90.0
2026-01-01,cheese,11000.0,6600.0,4400.0,4740.0,-340.0
2025-12-31,cheese,15500.0,11000.0,4500.0,4605.0,-105.0
2025-12-30,cheese,19300.0,15500.0,3800.0,2985.0,815.0
2025-12-29,cheese,21480.0,19300.0,2180.0,2656.0,-476.0
2025-12-28,cheese,24350.0,21480.0,2870.0,3210.0,-340.0
2025-12-27,cheese,28200.0,24350.0,3850.0,3856.0,-6.0
2025-12-26,cheese,30350.0,28200.0,2150.0,2115.0,35.0
2025-12-25,cheese,33800.0,30350.0,3450.0,3415.0,35.0
2025-12-24,cheese,37100.0,33800.0,3300.0,3250.0,50.0
2025-12-23,cheese,39450.0,37100.0,2350.0,2345.0,5.0
2025-12-22,cheese,17500.0,15450.0,2050.0,2003.0,47.0
2025-12-21,cheese,21200.0,17500.0,3700.0,3645.0,55.0
2025-12-20,cheese,23100.0,21200.0,1900.0,1860.0,40.0
2025-12-19,cheese,24650.0,23100.0,1550.0,1525.0,25.0
2025-12-18,cheese,26250.0,24650.0,1600.0,1605.0,-5.0
2025-12-17,cheese,26800.0,26250.0,550.0,545.0,5.0
2025-12-16,cheese,28300.0,26800.0,1500.0,1470.0,30.0
2025-12-15,cheese,5800.0,4300.0,1500.0,1485.0,15.0
2025-12-14,cheese,8850.0,5800.0,3050.0,3025.0,25.0
2025-12-13,cheese,12400.0,8850.0,3550.0,3530.0,20.0
2025-12-12,cheese,13800.0,12400.0,1400.0,1420.0,-20.0
2025-12-11,cheese,15550.0,13800.0,1750.0,1768.0,-18.0
2025-12-10,cheese,17500.0,15550.0,1950.0,1955.0,-5.0
2025-12-09,cheese,18700.0,17500.0,1200.0,1178.0,22.0
2025-12-08,cheese,20800.0,18700.0,2100.0,2125.0,-25.0
2025-12-07,cheese,21900.0,20800.0,1100.0,1115.0,-15.0
2025-12-06,cheese,23900.0,21900.0,2000.0,1935.0,65.0
2025-12-05,cheese,25350.0,23900.0,1450.0,1420.0,30.0
2025-12-05,cheese,25350.0,23900.0,1450.0,1420.0,30.0
2025-12-04,cheese,26450.0,25350.0,1100.0,1085.0,15.0
2025-12-03,cheese,28700.0,26450.0,2250.0,2200.0,50.0
2025-12-02,cheese,30400.0,28700.0,1700.0,1655.0,45.0
2025-12-01,cheese,7400.0,6400.0,1000.0,965.0,35.0
2025-11-30,cheese,9850.0,7400.0,2450.0,2420.0,30.0
2025-11-29,cheese,12800.0,9850.0,2950.0,2930.0,20.0
2025-11-28,cheese,14250.0,12800.0,1450.0,1380.0,70.0
2025-11-27,cheese,16500.0,14250.0,2250.0,2210.0,40.0
2025-11-26,cheese,18950.0,16500.0,2450.0,2380.0,70.0
2025-11-25,cheese,20100.0,18950.0,1150.0,1136.0,14.0
2025-11-24,cheese,21500.0,20100.0,1400.0,1345.0,55.0
2025-11-23,cheese,23600.0,21500.0,2100.0,1985.0,115.0
2025-11-22,cheese,26050.0,23600.0,2450.0,2390.0,60.0
2025-11-21,cheese,28150.0,26050.0,2100.0,2035.0,65.0
2025-11-20,cheese,30100.0,28150.0,1950.0,1905.0,45.0
2025-11-19,cheese,47800.0,28100.0,19700.0,18405.0,1295.0
2025-11-18,cheese,49250.0,47800.0,1450.0,1345.0,105.0
2025-11-17,cheese,15000.0,13250.0,1750.0,1738.0,12.0
2025-11-16,cheese,17100.0,15000.0,2100.0,2155.0,-55.0
2025-11-15,cheese,18600.0,17100.0,1500.0,1465.0,35.0
2025-11-14,cheese,19450.0,18600.0,850.0,850.0,0.0
2025-11-14,cheese,19450.0,18600.0,850.0,850.0,0.0
2025-11-13,cheese,21300.0,19450.0,1850.0,1845.0,5.0
2025-11-12,cheese,22450.0,21300.0,1150.0,1135.0,15.0
2025-11-11,cheese,24300.0,22450.0,1850.0,1840.0,10.0
2025-11-10,cheese,25400.0,24300.0,1100.0,1105.0,-5.0
2025-11-09,cheese,28250.0,25400.0,2850.0,2858.0,-8.0
2025-11-08,cheese,30700.0,28250.0,2450.0,2465.0,-15.0
2025-11-07,cheese,32200.000000000004,30700.0,1500.0,1468.0,32.0
2025-11-06,cheese,33800.0,32200.000000000004,1600.0,1628.0,-28.0
2025-11-05,cheese,34700.0,33800.0,900.0,943.0,-43.0
2025-11-04,cheese,35800.0,34700.0,1100.0,1088.0,12.0
2025-11-04,cheese,35800.0,34700.0,1100.0,1088.0,12.0
2025-11-03,cheese,13450.0,11800.0,1650.0,1680.0,-30.0
2025-11-02,cheese,16250.0,13450.0,2800.0,2835.0,-35.0
2025-11-01,cheese,18000.0,16250.0,1750.0,1760.0,-10.0
2025-10-31,cheese,19300.0,18000.0,1300.0,1235.0,65.0
2025-10-30,cheese,21350.0,19300.0,2050.0,2080.0,-30.0
2025-10-29,cheese,23200.0,21350.0,1850.0,1810.0,40.0
2025-10-28,cheese,25000.0,23200.0,1800.0,1775.0,25.0
2025-10-28,cheese,25000.0,23200.0,1800.0,1775.0,25.0
2025-10-27,cheese,2900.0,1000.0,1900.0,1880.0,20.0
2025-10-26,cheese,5100.0,2900.0,2200.0,2213.0,-13.0
2025-10-25,cheese,8000.0,5100.0,2900.0,2850.0,50.0
2025-10-25,cheese,8000.0,5100.0,2900.0,2850.0,50.0
2025-10-24,cheese,10000.0,8000.0,2000.0,1943.0,57.0
2025-10-23,cheese,11500.0,10000.0,1500.0,1441.0,59.0
2025-10-22,cheese,14000.0,11500.0,2500.0,2435.0,65.0
2025-10-21,cheese,16500.0,14000.0,2500.0,2490.0,10.0
2025-10-20,cheese,18600.0,16500.0,2100.0,2105.0,-5.0
2025-10-20,cheese,18600.0,16500.0,2100.0,2105.0,-5.0
2025-10-19,cheese,20850.0,18600.0,2250.0,2215.0,35.0
2025-10-18,cheese,22450.0,20850.0,1600.0,1515.0,85.0
2025-10-17,cheese,23600.0,22450.0,1150.0,1100.0,50.0
2025-10-16,cheese,25100.0,23600.0,1500.0,1425.0,75.0
2025-10-15,cheese,26850.0,25100.0,1750.0,1695.0,55.0
2025-10-14,cheese,28450.0,26850.0,1600.0,1555.0,45.0
2025-10-13,cheese,17400.0,16450.0,950.0,900.0,50.0
2025-10-12,cheese,19600.0,17400.0,2200.0,2175.0,25.0
2025-10-11,cheese,21400.0,19600.0,1800.0,1725.0,75.0
2025-10-10,cheese,23100.0,21400.0,1700.0,1675.0,25.0
2025-10-09,cheese,25100.0,23100.0,2000.0,1963.0,37.0
2025-10-08,cheese,26900.0,25100.0,1800.0,1788.0,12.0
2025-10-07,cheese,28000.0,26900.0,1100.0,1060.0,40.0
2025-10-06,cheese,5000.0,4000.0,1000.0,990.0,10.0
2025-10-05,cheese,8250.0,5000.0,3250.0,3238.0,12.0
2025-10-04,cheese,10850.0,8250.0,2600.0,2595.0,5.0
2025-10-03,cheese,12750.0,10850.0,1900.0,1870.0,30.0
2025-10-02,cheese,15000.0,12750.0,2250.0,2265.0,-15.0
2025-10-01,cheese,17800.0,15000.0,2800.0,2818.0,-18.0
2025-09-30,cheese,21500.0,17800.0,3700.0,3735.0,-35.0
