Month_code,Category,expense_amount,Total Sales[POS Sales less GST + Swiggy to Loocos],expense_amount%
2026-02,FOOD RAW MATERIAL PURCHASE,28109,294447.0,9.55
2026-02,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),18644,294447.0,6.33
2026-02,GAS & FUEL,18590,294447.0,6.31
2026-02,"LICENSE, TAX & GOVERNMENT FEES",3200,294447.0,1.09
2026-02,PACKAGING & DISPOSABLES,2700,294447.0,0.92
2026-02,SALARIES (MONTHLY PAYMENTS),5700,294447.0,0.57
2026-02,ADVERTISEMENT & MARKETING,500,294447.0,0.17
2026-02,STAFF WELFARE & BENEFITS,500,294447.0,0.17
2026-02,UNMAPPED,500,294447.0,0.17
2026-02,MAINTENANCE – SHOP & EQUIPMENT,450,294447.0,0.15
2026-01,SALARIES (MONTHLY PAYMENTS),129330,464506.6,12.93
2026-01,FOOD RAW MATERIAL PURCHASE,49134,464506.6,10.58
2026-01,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),23663,464506.6,5.09
2026-01,GAS & FUEL,20460,464506.6,4.4
2026-01,UNMAPPED,8106,464506.6,1.75
2026-01,MAINTENANCE – SHOP & EQUIPMENT,2800,464506.6,0.6
2026-01,RENT & UTILITIES,1091,464506.6,0.23
2026-01,ADVERTISEMENT & MARKETING,1000,464506.6,0.22
2026-01,MISCELLANEOUS / OTHER,750,464506.6,0.16
2026-01,TRANSPORTATION & AUTO CHARGES,600,464506.6,0.13
2026-01,STAFF WELFARE & BENEFITS,500,464506.6,0.11
2026-01,PACKAGING & DISPOSABLES,450,464506.6,0.1
2026-01,OFFICE & ADMINISTRATION,200,464506.6,0.04
2026-01,CLEANING & WASTE,100,464506.6,0.02
2025-12,SALARIES (MONTHLY PAYMENTS),133037,494089.55,13.3
2025-12,FOOD RAW MATERIAL PURCHASE,55481,494089.55,11.23
2025-12,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),28286,494089.55,5.72
2025-12,GAS & FUEL,22410,494089.55,4.54
2025-12,STAFF WELFARE & BENEFITS,2295,494089.55,0.46
2025-12,ADVERTISEMENT & MARKETING,1000,494089.55,0.2
2025-12,CLEANING & WASTE,100,494089.55,0.02
2025-11,SALARIES (MONTHLY PAYMENTS),124006,454730.6,12.4
2025-11,FOOD RAW MATERIAL PURCHASE,41992,454730.6,9.23
2025-11,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),26638,454730.6,5.86
2025-11,GAS & FUEL,21440,454730.6,4.71
2025-11,STAFF WELFARE & BENEFITS,5358,454730.6,1.18
2025-11,MAINTENANCE – SHOP & EQUIPMENT,3500,454730.6,0.77
2025-11,BIKE EXPENSES (ALL VEHICLE RELATED),2943,454730.6,0.65
2025-11,DECORATION & EVENTS,2200,454730.6,0.48
2025-11,RENT & UTILITIES,1837,454730.6,0.4
2025-11,UNMAPPED,1500,454730.6,0.33
2025-11,ADVERTISEMENT & MARKETING,1000,454730.6,0.22
2025-11,TRANSPORTATION & AUTO CHARGES,600,454730.6,0.13
2025-11,CLEANING & WASTE,500,454730.6,0.11
2025-11,"LICENSE, TAX & GOVERNMENT FEES",400,454730.6,0.09
2025-10,SALARIES (MONTHLY PAYMENTS),123420,455473.55,12.34
2025-10,FOOD RAW MATERIAL PURCHASE,31938,455473.55,7.01
2025-10,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),28746,455473.55,6.31
2025-10,GAS & FUEL,21620,455473.55,4.75
2025-10,UNMAPPED,7119,455473.55,1.56
2025-10,STAFF WELFARE & BENEFITS,3500,455473.55,0.77
2025-10,ADVERTISEMENT & MARKETING,2599,455473.55,0.57
2025-10,MAINTENANCE – SHOP & EQUIPMENT,2109,455473.55,0.46
2025-10,BIKE EXPENSES (ALL VEHICLE RELATED),1463,455473.55,0.32
2025-10,CLEANING & WASTE,650,455473.55,0.14
2025-09,SALARIES (MONTHLY PAYMENTS),111560,480840.35,11.16
2025-09,FOOD RAW MATERIAL PURCHASE,36611,480840.35,7.61
2025-09,LOCAL PURCHASE (MISCELLANEOUS STORE ITEMS),29323,480840.35,6.1
2025-09,GAS & FUEL,23050,480840.35,4.79
2025-09,BIKE EXPENSES (ALL VEHICLE RELATED),9400,480840.35,1.95
2025-09,ADVERTISEMENT & MARKETING,3000,480840.35,0.62
2025-09,UNMAPPED,2300,480840.35,0.48
2025-09,MAINTENANCE – SHOP & EQUIPMENT,2217,480840.35,0.46
2025-09,RENT & UTILITIES,1733,480840.35,0.36
2025-09,CLEANING & WASTE,700,480840.35,0.15
