Particulars,Category,Subcategory,matched_term,match_score
Advertisement,ADVERTISEMENT & MARKETING,advertisement,advertisement,1.0
Advertisement Anniversary Boosting Charges to OTP,ADVERTISEMENT & MARKETING,advertisement,advertisement,0.92
Advertisement Farooq Cherpulasseri,ADVERTISEMENT & MARKETING,advertisement,advertisement,0.92
Advertisement Onam,ADVERTISEMENT & MARKETING,advertisement onam,advertisement onam,1.0
Advertisement Safa,ADVERTISEMENT & MARKETING,advertisement,advertisement,0.92
Advertisement-Notice,ADVERTISEMENT & MARKETING,notice advertisement,notice advertisement,0.95
Advertisement-Notice Distribution,ADVERTISEMENT & MARKETING,advertisement,advertisement,0.92
Athul govind boosting,ADVERTISEMENT & MARKETING,boosting,boosting,0.92
Boosting ( Arjun),ADVERTISEMENT & MARKETING,boosting,boosting,0.92
Boosting ( Ottapalam),ADVERTISEMENT & MARKETING,boosting,boosting,0.92
Notice Advertisement,ADVERTISEMENT & MARKETING,notice advertisement,notice advertisement,1.0
Notice Distribution in paper,ADVERTISEMENT & MARKETING,notice distribution,notice distribution,0.92
Notice Printing charges,ADVERTISEMENT & MARKETING,notice printing,notice printing,0.95
Onam boosting,ADVERTISEMENT & MARKETING,boosting,boosting,0.92
Poster Printing,ADVERTISEMENT & MARKETING,poster printing,poster printing,1.0
Poster Printing & Lamination,ADVERTISEMENT & MARKETING,poster printing,poster printing,0.92
broadcasting charges,ADVERTISEMENT & MARKETING,broadcasting charges,broadcasting charges,1.0
broadcasting charges Ajay,ADVERTISEMENT & MARKETING,broadcasting charges,broadcasting charges,0.92
broadcasting charges ananthakumar,ADVERTISEMENT & MARKETING,broadcasting charges,broadcasting charges,0.92
flex printing anniversary,ADVERTISEMENT & MARKETING,flex printing,flex printing,0.92
flyer courier charges,ADVERTISEMENT & MARKETING,flyer delivery charges,flyer delivery charges,0.7907
flyer delivery charges,ADVERTISEMENT & MARKETING,flyer delivery charges,flyer delivery charges,1.0
flyer delivery charges 2000nos,ADVERTISEMENT & MARKETING,flyer delivery charges,flyer delivery charges,0.92
flyer delivery charges thiruvazhiyode,ADVERTISEMENT & MARKETING,flyer delivery charges,flyer delivery charges,0.92
google review card,ADVERTISEMENT & MARKETING,google review card,google review card,1.0
insta boosting,ADVERTISEMENT & MARKETING,boosting,boosting,0.92
safa advertising,ADVERTISEMENT & MARKETING,safa advertising,safa advertising,1.0
safa advertising flex,ADVERTISEMENT & MARKETING,safa advertising,safa advertising,0.92
safa advertising juice menu,ADVERTISEMENT & MARKETING,safa advertising,safa advertising,0.92
safa advertising menu laminaton,ADVERTISEMENT & MARKETING,safa advertising,safa advertising,0.92
sound pod,ADVERTISEMENT & MARKETING,sound pod fee,sound pod fee,0.92
"to ARJUN(BIKE,advertisement,oven maint. etc",ADVERTISEMENT & MARKETING,advertisement,advertisement,0.92
whats app boosting,ADVERTISEMENT & MARKETING,boosting,boosting,0.92
2 bike servicing,BIKE EXPENSES (ALL VEHICLE RELATED),2 bike servicing,2 bike servicing,1.0
2 pa pro pollution test,BIKE EXPENSES (ALL VEHICLE RELATED),pollution test,pollution test,0.92
Bike Maintanance,BIKE EXPENSES (ALL VEHICLE RELATED),bike maintanance,bike maintanance,1.0
Bike generator engine oil 5 ltr,BIKE EXPENSES (ALL VEHICLE RELATED),engine oil,engine oil,0.92
Bike insurance,BIKE EXPENSES (ALL VEHICLE RELATED),insurance bike,insurance bike,0.95
Bike tier maintanance,BIKE EXPENSES (ALL VEHICLE RELATED),bike maintanance,bike maintanance,0.9
Discover Maintanance,BIKE EXPENSES (ALL VEHICLE RELATED),discover maintanance,discover maintanance,1.0
Discover Maintanance puncture,BIKE EXPENSES (ALL VEHICLE RELATED),discover maintanance,discover maintanance,0.92
Insurance-Passionpro,BIKE EXPENSES (ALL VEHICLE RELATED),insurance bike,insurance bike,0.6471
Insurance-Passionpro new,BIKE EXPENSES (ALL VEHICLE RELATED),insurance bike,insurance bike,0.6316
Pa Pro insurance KL 51A2914,BIKE EXPENSES (ALL VEHICLE RELATED),insurance bike,insurance bike,0.5366
Painting Labour Charges,BIKE EXPENSES (ALL VEHICLE RELATED),chain kit labour,chain kit labour,0.5641
Pollution Test - Bike Maintanance,BIKE EXPENSES (ALL VEHICLE RELATED),bike maintanance,bike maintanance,0.92
Pollution Test - Discover,BIKE EXPENSES (ALL VEHICLE RELATED),pollution test,pollution test,0.92
Pollution Test - Passion pro,BIKE EXPENSES (ALL VEHICLE RELATED),pollution test,pollution test,0.92
