YEAR_MONTH,POS Sales,Swiggy to Loocos,Swiggy to Customer,Total Sales[POS Sales less GST + Swiggy to Loocos],Closing Stock Value,Consumed Stock Value,Food Cost %
2026-03,75818.0,0.0,0.0,72027.0,0.0,142842.0,198.32%
2026-02,367731.0,35672.0,55791.0,385016.0,127069.0,151888.0,39.45%
2026-01,441928.0,44675.0,68144.0,464507.0,118926.0,193550.0,41.67%
2025-12,478889.0,39145.0,78924.0,494090.0,100160.0,192490.0,38.96%
2025-11,440588.0,36172.0,0.0,454731.0,124340.0,196156.0,43.14%
2025-10,442369.0,35223.0,0.0,455474.0,124028.0,174611.0,38.34%
2025-09,456493.0,47172.0,0.0,480840.0,139985.0,189382.0,39.39%
2025-08,483672.0,48140.0,0.0,507628.0,126240.0,198859.0,39.17%
2025-07,447798.0,45059.0,0.0,470467.0,153797.0,194807.0,41.41%
2025-06,378320.0,44025.0,0.0,403429.0,131853.0,159508.0,39.54%
2025-05,482611.0,59170.0,0.0,517650.0,149674.0,207912.0,40.16%
2025-04,494004.0,53910.0,0.0,523214.0,127662.0,205526.0,39.28%
2025-03,331528.0,44006.0,0.0,358958.0,121208.0,192270.0,53.56%
2025-02,362316.0,39091.0,0.0,383291.0,132034.0,187653.0,48.96%
2025-01,421474.0,37868.0,0.0,438268.0,133940.0,201694.0,46.02%
2024-12,515121.0,48416.0,0.0,537781.0,152161.0,224219.0,41.69%
2024-11,470120.0,37048.0,0.0,483662.0,143793.0,218191.0,45.11%
2024-10,473658.0,33022.0,0.0,482997.0,134203.0,209410.0,43.36%
2024-09,422868.0,40221.0,0.0,441946.0,132738.0,179628.0,40.64%
2024-08,483715.0,38764.0,0.0,498293.0,123467.0,171875.0,34.49%
2024-07,454949.0,0.0,0.0,432202.0,113251.0,163866.0,37.91%
2024-06,452087.0,0.0,0.0,429483.0,120071.0,214841.0,50.02%
2024-05,506482.0,0.0,0.0,481158.0,125020.0,206191.0,42.85%
2024-04,494556.0,0.0,0.0,469828.0,112489.0,213562.0,45.46%
2024-03,349123.0,0.0,0.0,331667.0,146845.0,159156.0,47.99%
2024-02,356386.0,0.0,0.0,338567.0,133411.0,160116.0,47.29%
2024-01,398747.0,0.0,0.0,378810.0,129935.0,160698.0,42.42%
2023-12,498260.0,0.0,0.0,473347.0,142470.0,215511.0,45.53%
2023-11,426793.0,0.0,0.0,405453.0,160178.0,184230.0,45.44%
2023-10,449875.0,0.0,0.0,427381.0,116534.0,220418.0,51.57%
2023-09,464527.0,0.0,0.0,441301.0,148828.0,124571.0,28.23%
2023-08,457805.0,0.0,0.0,434915.0,102890.0,339414.0,78.04%
2023-07,560313.0,0.0,0.0,532297.0,192654.0,194364.0,36.51%
2023-06,470006.0,0.0,0.0,446506.0,120957.0,219662.0,49.2%
2023-05,624980.0,0.0,0.0,593731.0,99350.0,232695.0,39.19%
2023-04,469621.0,0.0,0.0,446140.0,110616.0,219070.0,49.1%
2023-03,404241.0,0.0,0.0,384029.0,174441.0,170882.0,44.5%
2023-02,379950.0,0.0,0.0,360953.0,115123.0,182039.0,50.43%
2023-01,435931.0,0.0,0.0,414134.0,159052.0,201419.0,48.64%
2022-12,485524.0,0.0,0.0,461248.0,140460.0,221353.0,47.99%
2022-11,448423.0,0.0,0.0,426002.0,117174.0,202496.0,47.53%
2022-10,553080.0,0.0,0.0,525426.0,93263.0,256435.0,48.81%
2022-09,479927.0,0.0,0.0,455931.0,98716.0,8124.0,1.78%
2022-08,528623.0,0.0,0.0,502192.0,0.0,0.0,0.0%
2022-07,588374.0,0.0,0.0,558955.0,0.0,0.0,0.0%
2022-06,458690.0,0.0,0.0,435756.0,0.0,0.0,0.0%
