Year_Month,Opening_Stock_Value,Recieved_stock_Value,Closing_Stock_Value,Consumed_Stock_Value
2026-02,118926.0,118951.0,0.0,237877.0
2026-01,100160.0,212316.0,118926.0,193550.0
2025-12,124340.0,168310.0,100160.0,192490.0
2025-11,124028.0,196468.0,124340.0,196156.0
2025-10,139985.0,158654.0,124028.0,174611.0
2025-09,126240.0,203127.0,139985.0,189382.0
2025-08,153797.0,171302.0,126240.0,198859.0
2025-07,131853.0,216751.0,153797.0,194807.0
2025-06,149674.0,141687.0,131853.0,159508.0
2025-05,127662.0,229924.0,149674.0,207912.0
2025-04,121208.0,211980.0,127662.0,205526.0
2025-03,132034.0,181444.0,121208.0,192270.0
2025-02,133940.0,185747.0,132034.0,187653.0
2025-01,152161.0,183473.0,133940.0,201694.0
2024-12,143793.0,232587.0,152161.0,224219.0
2024-11,134203.0,227781.0,143793.0,218191.0
2024-10,132738.0,210875.0,134203.0,209410.0
2024-09,123467.0,188899.0,132738.0,179628.0
2024-08,113251.0,182091.0,123467.0,171875.0
2024-07,120071.0,157046.0,113251.0,163866.0
2024-06,125020.0,209892.0,120071.0,214841.0
2024-05,112489.0,218722.0,125020.0,206191.0
2024-04,146845.0,179206.0,112489.0,213562.0
2024-03,133411.0,172590.0,146845.0,159156.0
2024-02,129935.0,163592.0,133411.0,160116.0
2024-01,142470.0,148163.0,129935.0,160698.0
2023-12,160178.0,197803.0,142470.0,215511.0
2023-11,116534.0,227874.0,160178.0,184230.0
2023-10,148828.0,188124.0,116534.0,220418.0
2023-09,102890.0,170509.0,148828.0,124571.0
2023-08,192654.0,249650.0,102890.0,339414.0
2023-07,120957.0,266061.0,192654.0,194364.0
2023-06,99350.0,241269.0,120957.0,219662.0
2023-05,110616.0,221429.0,99350.0,232695.0
2023-04,174441.0,155245.0,110616.0,219070.0
2023-03,115123.0,230200.0,174441.0,170882.0
2023-02,159052.0,138110.0,115123.0,182039.0
2023-01,140460.0,220011.0,159052.0,201419.0
2022-12,117174.0,244639.0,140460.0,221353.0
2022-11,93263.0,226407.0,117174.0,202496.0
2022-10,98716.0,250982.0,93263.0,256435.0
2022-09,0.0,106840.0,98716.0,8124.0
