Month_code,Order_Date,Category,Item_Name,Sales_Amount,Qty
2026-01,2026-01-01,Burger,Regular Chicken Burger,551.28,5.0
2026-01,2026-01-01,Burger,Burger Combo @ 169,532.3399999999999,3.0
2026-01,2026-01-01,Combos,2 Medium Non-veg@759,2600.88,3.0
2026-01,2026-01-01,Combos,2 Large Non-veg@1149,1332.46,1.0
2026-01,2026-01-01,Combos,2 Regular Non-veg@409,942.9200000000001,2.0
2026-01,2026-01-01,Combos,2 Regular Veg@349,858.92,2.0
2026-01,2026-01-01,Combos,2 Medium Veg@699,786.46,1.0
2026-01,2026-01-01,Combos,Super Saver Meal Regular,627.92,2.0
2026-01,2026-01-01,Combos,Super Saver Meal Medium,523.96,1.0
2026-01,2026-01-01,Combos,Combo Delight Non-veg,396.88,2.0
2026-01,2026-01-01,Combos,Non Veg Meal For 1,303.46,1.0
2026-01,2026-01-01,Combos,Veg Meal For 1,271.96,1.0
2026-01,2026-01-01,Desserts,Sizzling Brownie,430.52,2.0
2026-01,2026-01-01,Garlic Bread,Garlic Bread Supreme [veg],346.5,2.0
2026-01,2026-01-01,Garlic Bread,Garlic Bread,126.0,1.0
2026-01,2026-01-01,Mojitos,Green Apple,207.92,2.0
2026-01,2026-01-01,Mojitos,Water Melon,207.92,2.0
2026-01,2026-01-01,Mojitos,Blue Curacao,103.96,1.0
2026-01,2026-01-01,Mojitos,Bubble Gum,103.96,1.0
2026-01,2026-01-01,Mojitos,Fresh Garden Mint,103.96,1.0
2026-01,2026-01-01,Mojitos,Passion Fruit,103.96,1.0
2026-01,2026-01-01,Munchies,French Fries,798.08,8.0
2026-01,2026-01-01,Munchies,Cheesy Fries,162.76,1.0
2026-01,2026-01-01,Munchies,Chicken Popcorn,141.76,1.0
2026-01,2026-01-01,Munchies,Chicken Nuggets,136.5,1.0
2026-01,2026-01-01,Munchies,Peri Peri Dip,31.5,1.0
2026-01,2026-01-01,Non Veg Pizza,Tandoori Chicken Pizza (9 Inch),1496.28,3.0
2026-01,2026-01-01,Non Veg Pizza,Butter Chicken Pizza (12 Inch),1438.52,2.0
2026-01,2026-01-01,Non Veg Pizza,Hot Chicken Pizza (7 Inch),1029.04,4.0
2026-01,2026-01-01,Non Veg Pizza,Schezwan Chicken (9 Inch),997.52,2.0
2026-01,2026-01-01,Non Veg Pizza,Hot Chicken Pizza (9 Inch),934.52,2.0
2026-01,2026-01-01,Non Veg Pizza,Meat Feast Pizza (12 Inch),761.26,1.0
2026-01,2026-01-01,Non Veg Pizza,Mexicana Pizza (12 Inch),719.26,1.0
2026-01,2026-01-01,Non Veg Pizza,Schezwan Chicken (12 Inch),719.26,1.0
2026-01,2026-01-01,Non Veg Pizza,BBQ & Onion Pizza (12 Inch),687.76,1.0
2026-01,2026-01-01,Non Veg Pizza,Hot Chicken Pizza (12 Inch),687.76,1.0
2026-01,2026-01-01,Non Veg Pizza,Tandoori Chicken Pizza (7 Inch),627.92,2.0
2026-01,2026-01-01,Non Veg Pizza,Chicken Tikka Butter Masala (9 Inch),498.76,1.0
2026-01,2026-01-01,Non Veg Pizza,Hot Treat Pizza (9 Inch),498.76,1.0
