Sales date,Amount,Cash Recieved Date,Deposits
2026-01-30,493.7,,
2026-01-29,2504.63,,
2026-01-28,1068.53,,
2026-01-27,345.92,,
2026-01-25,3569.17,,
2026-01-24,895.89,,
2026-01-19,1204.88,,
2026-01-18,1631.53,,
2026-01-17,2470.6400000000003,,
2026-01-10,1016.47,,
2026-01-09,1028.04,,
2026-01-07,92.31,,
2026-01-06,765.6700000000001,,
2025-12-31,917.26,,
2025-11-29,1250.02,,
2025-11-26,881.31,,
2025-11-23,451.16,,
2025-11-22,418.37,,
2025-11-21,638.39,,
2025-11-20,429.0,,
2025-11-19,1436.13,,
2025-11-15,336.21,,
2025-11-14,686.98,,
2025-11-09,1792.74,,
2025-11-04,701.18,,
2025-11-02,1531.92,,
2025-11-01,1484.73,,
2025-10-31,310.66,,
2025-09-30,900.13,,
2025-09-28,974.69,,
2025-09-27,6084.52,,
2025-09-25,566.49,,
2025-09-24,1327.75,,
2025-09-22,504.3,,
2025-09-21,1467.24,,
2025-09-20,1251.21,,
2025-09-17,683.63,,
2025-09-16,1932.0,,
2025-09-09,1383.3400000000001,,
2025-09-08,1722.79,,
2025-09-07,444.06,,
2025-09-05,2739.48,,
2025-09-04,1203.11,,
2025-09-03,2975.29,,
2025-08-27,682.12,,
2025-08-25,336.21,,
2025-08-24,1094.12,,
2025-08-23,331.35,,
2025-08-16,1714.04,,
2025-08-15,1104.8,,
2025-08-13,305.1,,
2025-08-10,1421.57,,
2025-08-09,806.0,,
2025-08-06,963.65,,
2025-08-03,789.0,,
2025-08-02,2477.18,,
2025-08-01,1928.62,,
2025-07-30,1354.46,,
2025-07-26,1035.88,,
2025-07-23,643.25,,
2025-07-20,2082.65,,
2025-07-19,2032.5800000000002,,
2025-07-14,369.04,,
2025-07-12,3226.5899999999997,,
2025-07-10,629.25,,
2025-07-08,1359.38,,
2025-07-06,1540.09,,
2025-07-05,1213.18,,
2025-07-04,795.8,,
2025-07-02,1374.25,,
2025-07-01,1698.76,,
2025-06-29,612.16,,
2025-06-26,350.24,,
2025-06-25,534.27,,
2025-06-22,482.92,,
2025-06-21,484.86,,
2025-06-15,500.29,,
2025-06-14,578.15,,
2025-06-13,325.73,,
2025-06-10,2153.25,,
2025-06-08,779.2,,
2025-06-07,3642.91,,
2025-06-06,327.48,,
2025-06-04,1833.56,,
2025-06-03,1294.28,,
2025-05-31,493.7,,
2025-04-26,2988.56,,
2025-04-24,704.47,,
2025-04-23,500.0,,
2025-04-16,1148.0,,
2025-04-14,3001.41,,
2025-04-13,998.8899999999999,,
2025-04-12,1208.3,,
2025-04-08,962.66,,
2025-04-07,905.0,,
2025-04-06,151.0,,
2025-04-03,721.6800000000001,,
2025-04-02,2147.61,,
2025-04-01,392.0,,
2025-03-31,320.55,,
2025-02-28,728.0,,
2025-02-27,284.7,,
2025-02-24,1336.93,,
2025-02-23,935.73,,
2025-02-18,863.6300000000001,,
2025-02-15,92.31,,
2025-02-14,2359.54,,
2025-02-13,341.33,,
2025-02-12,285.74,,
2025-02-11,627.26,,
2025-02-09,1189.23,,
2025-02-08,692.81,,
2025-02-05,580.77,,
2025-02-03,840.5,,
2025-02-01,1001.81,,
2025-01-31,976.13,,
2025-01-30,846.31,,
2025-01-28,998.53,,
2025-01-26,941.84,,
2025-01-25,4243.16,,
2025-01-24,582.67,,
2025-01-23,1684.75,,
2025-01-22,1331.3899999999999,,
2025-01-20,847.3,,
2025-01-19,1341.45,,
2025-01-18,598.56,,
2025-01-17,1562.1799999999998,,
2025-01-15,107.36,,
2025-01-13,570.0,,
2025-01-11,404.33,,
2025-01-08,188.37,,
2025-01-07,371.62,,
2025-01-06,381.81,,
2025-01-05,681.81,,
2025-01-04,932.0799999999999,,
2025-01-03,541.09,,
2025-01-01,2486.31,,
2024-12-29,3241.77,,
2024-12-28,261.57,,
2024-12-22,711.5,,
2024-12-21,1871.97,,
2024-12-19,892.9000000000001,,
2024-12-15,4160.4400000000005,,
2024-12-08,691.0,,
2024-12-07,2986.23,,
2024-11-24,1248.88,,
2024-11-23,558.49,,
2024-11-13,3782.0,,
2024-11-03,2614.8,,
2024-11-02,2422.59,,
2024-10-27,1913.9300000000003,,
2024-10-26,1864.23,,
2024-10-25,917.8799999999999,,
2024-10-20,2032.17,,
2024-10-19,443.96999999999997,,
2024-09-22,3220.17,,
2024-09-21,696.0,,
2024-09-15,799.84,,
2024-09-14,1081.21,,
2024-09-08,367.66,,
2024-09-07,832.8199999999999,,
2024-09-01,466.53,,
2024-08-31,769.09,,
