YEAR_MONTH,Txn_Date,Invoice_No,Item_Name,Price,Qty,Sub_Total,Discount,Final_Total,Variation,Category
2026-01,2026-01-01,8271.0,Mexicana Pizza (9 Inch),475.0,1.0,475.0,0.0,498.76,9 Inch,Non Veg Pizza
2026-01,2026-01-01,8271.0,Pineapple Juice,80.0,1.0,80.0,0.0,84.0,,Shakes & Juices
2026-01,2026-01-01,8271.0,Chicken Popcorn,135.0,1.0,135.0,0.0,141.76,,Munchies
2026-01,2026-01-01,8271.0,Regular Chicken Burger,105.0,1.0,105.0,0.0,110.26,,Burger
2026-01,2026-01-01,8271.0,Mint Lime Juice,45.0,1.0,45.0,0.0,47.26,,Shakes & Juices
2026-01,2026-01-01,8271.0,Blue Curacao,99.0,1.0,99.0,0.0,103.96,,Mojitos
2026-01,2026-01-01,8271.0,Chicken Pasta,275.0,1.0,275.0,0.0,288.76,,Pasta
2026-01,2026-01-01,8270.0,Super Saver Meal Medium,499.0,1.0,499.0,0.0,523.96,,Combos
2026-01,2026-01-01,8269.0,Super Saver Meal Regular,299.0,1.0,299.0,0.0,313.96,,Combos
2026-01,2026-01-01,8269.0,Pizza Upgrade,30.0,1.0,30.0,0.0,31.5,,Soft Drinks
2026-01,2026-01-01,8269.0,Passion Fruit,99.0,1.0,99.0,0.0,103.96,,Mojitos
2026-01,2026-01-01,8268.0,Veg Tandoori Paneer Pizza (12 Inch),685.0,1.0,685.0,0.0,719.26,12 Inch,Veg Pizza
2026-01,2026-01-01,8268.0,Mexicana Pizza (12 Inch),685.0,1.0,685.0,0.0,719.26,12 Inch,Non Veg Pizza
2026-01,2026-01-01,8267.0,Soda,20.0,1.0,20.0,0.0,20.0,,Soft Drinks
2026-01,2026-01-01,8266.0,Red Indian Pizza (7 Inch),299.0,1.0,299.0,0.0,313.96,7 Inch,Non Veg Pizza
2026-01,2026-01-01,8266.0,French Fries,95.0,1.0,95.0,0.0,99.76,,Munchies
2026-01,2026-01-01,8265.0,Super Saver Meal Regular,299.0,1.0,299.0,0.0,313.96,,Combos
2026-01,2026-01-01,8264.0,Pepsi@40rs,40.0,1.0,40.0,0.0,40.0,,Soft Drinks
2026-01,2026-01-01,8263.0,Schezwan Paneer (7 Inch),299.0,1.0,299.0,0.0,313.96,7 Inch,Veg Pizza
2026-01,2026-01-01,8263.0,Fiery Chicken Pizza (7 Inch),245.0,1.0,245.0,0.0,257.26,7 Inch,Non Veg Pizza
2026-01,2026-01-01,8262.0,2 Regular Veg@349,389.0,1.0,389.0,0.0,408.46,,Combos
2026-01,2026-01-01,8262.0,French Fries,95.0,1.0,95.0,0.0,99.76,,Munchies
2026-01,2026-01-01,8261.0,Chocolate Shake,99.0,1.0,99.0,0.0,99.0,,Shakes & Juices
2026-01,2026-01-01,8261.0,2 Regular Non-veg@409,489.0,1.0,489.0,0.0,513.46,,Combos
2026-01,2026-01-01,8261.0,Green Apple,99.0,1.0,99.0,0.0,103.96,,Mojitos
2026-01,2026-01-01,8261.0,2 Medium Non-veg@759,759.0,1.0,759.0,0.0,796.96,,Combos
2026-01,2026-01-01,8260.0,Hot Chicken Pizza (7 Inch),245.0,1.0,245.0,0.0,257.26,7 Inch,Non Veg Pizza
2026-01,2026-01-01,8260.0,2 Regular Veg@349,429.0,1.0,429.0,0.0,450.46,,Combos
2026-01,2026-01-01,8260.0,Supreme Veg Pizza (7 Inch),299.0,1.0,299.0,0.0,313.96,7 Inch,Veg Pizza
2026-01,2026-01-01,8260.0,Paneer Tikka Butter Masala (7 Inch),299.0,1.0,299.0,0.0,313.96,7 Inch,Veg Pizza
2026-01,2026-01-01,8260.0,Garlic Bread Supreme [veg],165.0,2.0,330.0,0.0,346.5,,Garlic Bread
2026-01,2026-01-01,8260.0,Pepsi@50rs,50.0,1.0,50.0,0.0,50.0,,Soft Drinks
2026-01,2026-01-01,8260.0,Mdew 250ml Pet,20.0,2.0,40.0,0.0,40.0,,Soft Drinks
2026-01,2026-01-01,8260.0,Pepsi 250ml Pet,20.0,1.0,20.0,0.0,20.0,,Soft Drinks
2026-01,2026-01-01,8259.0,Butter Chicken Pizza (12 Inch),685.0,1.0,685.0,0.0,719.26,12 Inch,Non Veg Pizza
2026-01,2026-01-01,8258.0,Hot Chicken Pizza (12 Inch),655.0,1.0,655.0,0.0,687.76,12 Inch,Non Veg Pizza
2026-01,2026-01-01,8258.0,Burger Combo @ 169,169.0,2.0,338.0,0.0,354.9,,Burger
2026-01,2026-01-01,8258.0,French Fries,95.0,1.0,95.0,0.0,99.76,,Munchies
2026-01,2026-01-01,8257.0,Schezwan Chicken (12 Inch),685.0,1.0,685.0,0.0,719.26,12 Inch,Non Veg Pizza
2026-01,2026-01-01,8257.0,French Fries,95.0,1.0,95.0,0.0,99.76,,Munchies
2026-01,2026-01-01,8257.0,Peri Peri Dip,30.0,1.0,30.0,0.0,31.5,,Munchies
2026-01,2026-01-01,8256.0,Tandoori Chicken Pizza (9 Inch),475.0,1.0,475.0,0.0,498.76,9 Inch,Non Veg Pizza
2026-01,2026-01-01,8256.0,Green Apple,99.0,1.0,99.0,0.0,103.96,,Mojitos
2026-01,2026-01-01,8256.0,Bubble Gum,99.0,1.0,99.0,0.0,103.96,,Mojitos
2026-01,2026-01-01,8256.0,Chocolate Shake,99.0,1.0,99.0,0.0,99.0,,Shakes & Juices
2026-01,2026-01-01,8256.0,Tandoori Chicken Pizza (7 Inch),299.0,1.0,299.0,0.0,313.96,7 Inch,Non Veg Pizza
2026-01,2026-01-01,8255.0,Tandoori Chicken Pizza (9 Inch),475.0,1.0,475.0,0.0,498.76,9 Inch,Non Veg Pizza
2026-01,2026-01-01,8254.0,Regular Chicken Burger,105.0,1.0,105.0,0.0,110.26,,Burger
2026-01,2026-01-01,8254.0,Water Melon,99.0,1.0,99.0,0.0,103.96,,Mojitos
2026-01,2026-01-01,8254.0,Grapes Juice,80.0,1.0,80.0,0.0,84.0,,Shakes & Juices
2026-01,2026-01-01,8253.0,2 Medium Non-veg@759,859.0,1.0,859.0,0.0,901.96,,Combos
2026-01,2026-01-01,8252.0,Hot Chicken Pizza (9 Inch),445.0,1.0,445.0,0.0,467.26,9 Inch,Non Veg Pizza
2026-01,2026-01-01,8251.0,Schezwan Paneer (9 Inch),475.0,1.0,475.0,0.0,498.76,9 Inch,Veg Pizza
2026-01,2026-01-01,8251.0,Mdew@40rs,40.0,1.0,40.0,0.0,40.0,,Soft Drinks
2026-01,2026-01-01,8250.0,Chicken Nuggets,130.0,1.0,130.0,0.0,136.5,,Munchies
2026-01,2026-01-01,8250.0,Slice 200ml,20.0,1.0,20.0,0.0,20.0,,Soft Drinks
2026-01,2026-01-01,8249.0,Cheese N Corn Chicken (9 Inch),445.0,1.0,445.0,0.0,467.26,9 Inch,Non Veg Pizza
2026-01,2026-01-01,8249.0,Chicken Pasta,275.0,1.0,275.0,0.0,288.76,,Pasta
2026-01,2026-01-01,8248.0,Chikku Shake,89.0,1.0,89.0,0.0,89.0,,Shakes & Juices
2026-01,2026-01-01,8248.0,Mint Lime Juice,45.0,1.0,45.0,0.0,47.26,,Shakes & Juices
