Month_code,Order_Date,Category,Order_Type,Orders,Sales_Amount
2026-02,2026-02-01,Burger,Dine-In,2,404.26
2026-02,2026-02-01,Burger,Pick-up,1,220.5
2026-02,2026-02-01,Combos,Dine-In,3,2043.3000000000002
2026-02,2026-02-01,Combos,Pick-up,3,2401.36
2026-02,2026-02-01,Desserts,Dine-In,2,319.2
2026-02,2026-02-01,Garlic Bread,Pick-up,1,126.0
2026-02,2026-02-01,Mojitos,Dine-In,2,207.92
2026-02,2026-02-01,Munchies,Dine-In,4,724.54
2026-02,2026-02-01,Munchies,Pick-up,1,99.76
2026-02,2026-02-01,Non Veg Pizza,Dine-In,4,1757.74
2026-02,2026-02-01,Non Veg Pizza,Pick-up,7,4648.420000000001
2026-02,2026-02-01,Pasta,Dine-In,1,288.76
2026-02,2026-02-01,Pasta,Pick-up,1,866.26
2026-02,2026-02-01,Salad,Pick-up,2,365.4
2026-02,2026-02-01,Shakes & Juices,Dine-In,4,408.0
2026-02,2026-02-01,Soft Drinks,Dine-In,4,164.0
2026-02,2026-02-01,Soft Drinks,Pick-up,7,410.0
2026-02,2026-02-01,Veg Pizza,Dine-In,1,141.76
2026-02,2026-02-01,Veg Pizza,Pick-up,3,1622.28
2026-02,2026-02-02,Burger,Dine-In,1,177.44
2026-02,2026-02-02,Combos,Dine-In,2,827.4200000000001
2026-02,2026-02-02,Combos,Pick-up,4,1624.3600000000001
2026-02,2026-02-02,Garlic Bread,Dine-In,1,173.26
2026-02,2026-02-02,Mojitos,Dine-In,2,207.92
2026-02,2026-02-02,Mojitos,Pick-up,1,103.96
2026-02,2026-02-02,Munchies,Dine-In,1,199.52
2026-02,2026-02-02,Munchies,Pick-up,2,509.26
2026-02,2026-02-02,Non Veg Pizza,Dine-In,6,1747.26
2026-02,2026-02-02,Non Veg Pizza,Pick-up,7,2504.3199999999997
2026-02,2026-02-02,Pasta,Pick-up,1,288.76
2026-02,2026-02-02,Salad,Dine-In,1,198.44
2026-02,2026-02-02,Shakes & Juices,Dine-In,3,210.0
2026-02,2026-02-02,Shakes & Juices,Pick-up,2,356.0
2026-02,2026-02-02,Soft Drinks,Dine-In,1,40.0
2026-02,2026-02-02,Soft Drinks,Pick-up,3,100.0
2026-02,2026-02-02,Sundaes,Dine-In,1,208.94
2026-02,2026-02-02,Veg Pizza,Dine-In,2,627.92
2026-02,2026-02-02,Veg Pizza,Pick-up,1,215.26
2026-02,2026-02-03,Burger,Dine-In,1,187.94
2026-02,2026-02-03,Burger,Pick-up,1,94.5
2026-02,2026-02-03,Combos,Dine-In,3,1246.38
2026-02,2026-02-03,Combos,Pick-up,4,1948.8200000000002
2026-02,2026-02-03,Mojitos,Dine-In,2,207.92
2026-02,2026-02-03,Munchies,Dine-In,2,315.02
2026-02,2026-02-03,Munchies,Pick-up,3,362.28
2026-02,2026-02-03,Non Veg Pizza,Dine-In,3,1086.78
2026-02,2026-02-03,Non Veg Pizza,Pick-up,5,1537.24
2026-02,2026-02-03,Pasta,Dine-In,1,257.26
2026-02,2026-02-03,Salad,Pick-up,2,365.4
2026-02,2026-02-03,Shakes & Juices,Dine-In,4,1029.0
2026-02,2026-02-03,Shakes & Juices,Pick-up,2,267.0
2026-02,2026-02-03,Soft Drinks,Dine-In,2,60.0
2026-02,2026-02-03,Soft Drinks,Pick-up,9,340.0
2026-02,2026-02-03,Veg Pizza,Dine-In,5,1550.8999999999999
2026-02,2026-02-03,Veg Pizza,Pick-up,1,215.26
