Month_code,Order_Date,Order_Type,Orders,Sales_Amount
2026-02,2026-02-01,Delivery,2,635.0
2026-02,2026-02-01,Dine-In,13,6459.480000000002
2026-02,2026-02-01,Pick-up,19,10759.980000000003
2026-02,2026-02-02,Delivery,2,975.0
2026-02,2026-02-02,Dine-In,9,4618.12
2026-02,2026-02-02,Pick-up,19,5701.920000000001
2026-02,2026-02-03,Delivery,6,2573.0
2026-02,2026-02-03,Dine-In,12,5941.200000000002
2026-02,2026-02-03,Pick-up,22,5130.500000000001
2026-02,2026-02-04,Delivery,5,2970.0
2026-02,2026-02-04,Dine-In,7,3159.58
2026-02,2026-02-04,Pick-up,15,5208.06
2026-02,2026-02-05,Delivery,5,2205.0
2026-02,2026-02-05,Dine-In,15,8974.68
2026-02,2026-02-05,Pick-up,22,10721.7
2026-02,2026-02-06,Delivery,1,545.0
2026-02,2026-02-06,Dine-In,5,2846.38
2026-02,2026-02-06,Pick-up,17,6670.480000000001
2026-02,2026-02-07,Delivery,1,1020.0
2026-02,2026-02-07,Dine-In,11,6399.78
2026-02,2026-02-07,Pick-up,21,11763.480000000001
2026-02,2026-02-08,Delivery,3,1575.0
2026-02,2026-02-08,Dine-In,15,8996.54
2026-02,2026-02-08,Pick-up,19,10115.300000000001
2026-02,2026-02-09,Delivery,2,1253.0
2026-02,2026-02-09,Dine-In,9,3666.420000000001
2026-02,2026-02-09,Pick-up,20,10034.28
2026-02,2026-02-10,Delivery,3,1613.0
2026-02,2026-02-10,Dine-In,10,4733.1
2026-02,2026-02-10,Pick-up,20,12982.58
2026-02,2026-02-11,Dine-In,5,1578.28
2026-02,2026-02-11,Pick-up,14,5685.480000000001
2026-02,2026-02-12,Delivery,2,630.0
2026-02,2026-02-12,Dine-In,16,7394.8600000000015
2026-02,2026-02-12,Pick-up,15,2062.26
2026-02,2026-02-13,Delivery,3,1229.0
2026-02,2026-02-13,Dine-In,12,4646.1
2026-02,2026-02-13,Pick-up,23,10212.299999999997
2026-02,2026-02-14,Delivery,8,5227.0
2026-02,2026-02-14,Dine-In,11,5552.740000000001
2026-02,2026-02-14,Pick-up,26,11864.539999999999
2026-02,2026-02-15,Delivery,4,1945.0
2026-02,2026-02-15,Dine-In,15,8991.68
2026-02,2026-02-15,Pick-up,20,10963.300000000003
2026-02,2026-02-16,Delivery,2,630.0
2026-02,2026-02-16,Dine-In,9,5708.040000000001
2026-02,2026-02-16,Pick-up,20,10929.860000000002
2026-02,2026-02-17,Delivery,6,2960.0
2026-02,2026-02-17,Dine-In,4,2503.1800000000003
2026-02,2026-02-17,Pick-up,18,7909.200000000001
2026-02,2026-02-18,Delivery,4,3028.0
2026-02,2026-02-18,Dine-In,11,5346.620000000002
2026-02,2026-02-18,Pick-up,25,7815.080000000001
2026-02,2026-02-19,Delivery,2,774.0
2026-02,2026-02-19,Dine-In,6,1521.1200000000001
2026-02,2026-02-19,Pick-up,11,6143.3600000000015
2026-02,2026-02-20,Delivery,7,4105.0
2026-02,2026-02-20,Dine-In,12,8598.620000000003
2026-02,2026-02-20,Pick-up,16,4686.740000000002
2026-02,2026-02-21,Delivery,3,1190.0
2026-02,2026-02-21,Dine-In,14,9130.520000000002
2026-02,2026-02-21,Pick-up,20,7476.840000000001
2026-02,2026-02-22,Delivery,4,1834.0
2026-02,2026-02-22,Dine-In,12,9186.340000000002
2026-02,2026-02-22,Pick-up,20,7557.820000000002
2026-02,2026-02-23,Delivery,2,1565.0
2026-02,2026-02-23,Dine-In,4,3076.62
2026-02,2026-02-23,Pick-up,11,4692.700000000001
2026-02,2026-02-24,Dine-In,6,3025.04
2026-02,2026-02-24,Pick-up,17,5907.900000000002
2026-02,2026-02-25,Delivery,5,2929.0
2026-02,2026-02-25,Dine-In,2,1289.44
2026-02,2026-02-25,Pick-up,13,6831.800000000001
2026-02,2026-02-26,Delivery,3,1990.0
2026-02,2026-02-26,Dine-In,5,3987.0000000000005
2026-02,2026-02-26,Pick-up,11,4196.7
2026-02,2026-02-27,Delivery,7,3923.0
2026-02,2026-02-27,Dine-In,6,2146.64
2026-02,2026-02-27,Pick-up,20,9920.460000000001
2026-02,2026-02-28,Delivery,1,330.0
2026-02,2026-02-28,Dine-In,7,5201.5199999999995
