Vendor_Name,Item_Name,UOM,Unit_Price,Date
Essar Associates,Aqua Fina 1.0 L,Case,168.0,2022-09-15
TAHA Traders,Veeba Barbequesauce 1KG,Nos,166.0,2022-09-22
TAHA Traders,Veeba Pasta & Pizza Sauce 1KG,Nos,180.0,2022-09-22
TAHA Traders,Veeba Eggless Mayonise Chef 1KG,Nos,140.0,2022-09-22
TAHA Traders,Veeba Gouda Flavoured Dressing,Nos,210.0,2022-09-02
TAHA Traders,Veeba ThousandIsland Dressing 1KG,Nos,187.99,2022-09-09
TAHA Traders,Veeba Makhani Gravy 1KG,Nos,210.56,2022-09-09
Lakhsyam Foods,BBQ Wings,Pkt,446.88,2022-09-03
Koonathil Traders,Summeru Neggets Premium 1KG,Nos,278.0,2022-09-16
Koonathil Traders,Noor Jahan Rice 25kg,Nos,812.5,2022-09-16
Koonathil Traders,Zippy  B.Fast Sausage ,Nos,285.0,2022-09-16
Koonathil Traders,Zippy Chicken Salami,Nos,279.0,2022-09-16
Koonathil Traders,DVC Mint Flavoured Syrup 750 ml,Nos,437.0,2022-09-16
Koonathil Traders,DVC BLUE OCCEAN FLV SYRUP 750ML,Nos,437.0,2022-09-16
Koonathil Traders,TAJIR HABIT Pinaple Slice 50g,Nos,105.0,2022-09-16
Koonathil Traders,Eastern Coriander 1KG,Nos,235.01,2022-09-16
Koonathil Traders,GO Colby Cheese Block 2kg,Nos,1220.0,2022-09-16
Koonathil Traders,Puramate Pasta-Penne Rigatte 500g,Nos,102.0,2022-09-16
Koonathil Traders,AMUL Mozzarella Diced 1Kg,Nos,429.0,2022-09-16
Koonathil Traders,Atta Loose,Kg,36.0,2022-09-16
Koonathil Traders,DVC CHocolate Sauce 2 LTR,Nos,767.0,2022-09-16
Loocos Pizza CPY,Corn Meal - MAKKA RAVA,Nos,90.0,2022-09-30
Loocos Pizza CPY,Sugar,Kg,48.0,2022-09-30
Loocos Pizza CPY,Palm Oil - Refined Oil,Ltr,126.0,2022-09-30
Loocos Pizza CPY,Butter,Kg,360.0,2022-09-30
Loocos Pizza CPY,Paneer,Kg,360.0,2022-09-30
Loocos Pizza CPY,AMUL Mozzarella Diced 1Kg,Kg,429.0,2022-09-30
Loocos Pizza CPY,Veeba Pasta & Pizza Sauce 1KG,Kg,180.0,2022-09-30
Loocos Pizza CPY,Veeba Makhani Gravy 1KG,Kg,210.56,2022-09-30
Loocos Pizza CPY,Chocolate Ice-cream,Pkt,639.5,2022-09-30
Loocos Pizza CPY,Butter Scotch Ice-cream,Pkt,639.5,2022-09-30
Loocos Pizza CPY,Vanilla Ice-cream,Pkt,437.0,2022-09-30
Loocos Pizza CPY,Strawberry,Pkt,502.0,2022-09-30
Loocos Pizza CPY,Mc Cain Potato Wedges 2.5kg,Nos,430.0,2022-09-30
Loocos Pizza CPY,French Fries 6mm,Kg,140.0,2022-09-30
Loocos Pizza CPY,Baby Corn Whole,Tin,112.0,2022-09-30
Loocos Pizza CPY,Garlic Paste,Kg,50.0,2022-09-30
Loocos Pizza CPY,DVC MOJITO MINT 750ML,Nos,437.0,2022-09-30
Loocos Pizza CPY,Salt,Kg,13.0,2022-09-30
Loocos Pizza CPY,Tissue,Pkt,9.0,2022-09-30
Loocos Pizza CPY,Wooden Spoon,Nos,0.78,2022-09-30
Loocos Pizza CPY,Puramate Pasta-Penne Rigatte 500g,Grams,0.2,2022-09-30
Loocos Pizza CPY,DVC Passion Fruit 750ML,Grams,0.58,2022-09-30
Loocos Pizza CPY,Herb Mix Masla,Nos,414.0,2022-09-30
Loocos Pizza CPY,M Thuvara,Kg,125.0,2022-09-30
Loocos Pizza CPY,Paper Glass,Nos,1.0,2022-09-30
Loocos Pizza CPY,Straw,Nos,0.35,2022-09-30
Loocos Pizza CPY,Plastic Cover 16X20,Nos,2.8,2022-09-30
Loocos Pizza CPY,Noor Jahan Rice 25kg,Kg,32.5,2022-09-30
Loocos Pizza CPY,Ice cube,Pkt,90.0,2022-09-30
Loocos Pizza CPY,Chettinad Mix,Kg,499.0,2022-09-30
Loocos Pizza CPY,Atta Loose,Kg,36.0,2022-09-30
Loocos Pizza CPY,Turmeric Powder,Grams,0.22,2022-09-30
