YEAR_MONTH,Date,Total_Sale,UPI,Card,Cash,Cash_balance
2026-03,2026-03-01,14667.0,10906.0,1437.0,2324.0,2759.0
2026-03,2026-03-02,5801.0,3897.0,0.0,1904.0,106.0
2026-03,2026-03-03,8727.0,6141.0,0.0,2586.0,96.0
2026-03,2026-03-04,8566.0,6053.0,680.0,1833.0,349.0
2026-03,2026-03-05,11193.0,0.0,0.0,11193.0,11542.0
2026-03,2026-03-06,15428.0,0.0,0.0,15428.0,26970.0
2026-03,2026-03-07,11436.0,0.0,0.0,11436.0,38406.0
2026-02,2026-02-01,17227.0,11365.0,0.0,5862.0,2516.0
2026-02,2026-02-02,10359.0,3854.0,2042.0,4463.0,1386.0
2026-02,2026-02-03,11068.0,8223.0,0.0,2845.0,729.0
2026-02,2026-02-04,8367.0,6190.0,0.0,2177.0,239.0
2026-02,2026-02-05,19732.0,12096.0,0.0,7636.0,2017.0
2026-02,2026-02-06,9548.0,7603.0,0.0,1945.0,1232.0
2026-02,2026-02-07,18172.0,14468.0,0.0,3704.0,1305.0
2026-02,2026-02-08,19133.0,12492.0,524.0,6117.0,2582.0
2026-02,2026-02-09,13701.0,9621.0,399.0,3681.0,2634.0
2026-02,2026-02-10,17724.0,11746.0,0.0,5978.0,1423.0
2026-02,2026-02-11,7332.0,4632.0,0.0,2700.0,497.0
2026-02,2026-02-12,9456.0,5872.0,524.0,3060.0,1647.0
2026-02,2026-02-13,14979.0,8819.0,0.0,6160.0,2631.0
2026-02,2026-02-14,17497.0,7805.0,2572.0,7120.0,2025.0
2026-02,2026-02-15,19992.0,11336.0,1498.0,7158.0,4055.0
2026-02,2026-02-16,16636.0,11573.0,0.0,5063.0,1116.0
2026-02,2026-02-17,10432.0,5991.0,0.0,4441.0,1205.0
2026-02,2026-02-18,13279.0,10556.0,0.0,2723.0,1828.0
2026-02,2026-02-19,7733.0,5475.0,0.0,2258.0,1817.0
2026-02,2026-02-20,13306.0,9171.0,2703.0,1432.0,1936.0
2026-02,2026-02-21,16627.0,11558.0,0.0,5069.0,268.0
2026-02,2026-02-22,16744.0,13809.0,686.0,2249.0,239.0
2026-02,2026-02-23,7890.0,5902.0,0.0,1988.0,390.0
2026-02,2026-02-24,8931.0,6254.0,608.0,2069.0,249.0
2026-02,2026-02-25,8191.0,2589.0,0.0,5602.0,2369.0
2026-02,2026-02-26,8325.0,4597.0,1275.0,2453.0,2616.0
2026-02,2026-02-27,12155.0,9558.0,0.0,2597.0,1146.0
2026-02,2026-02-28,13195.0,8705.0,0.0,4490.0,2091.0
2026-01,2026-01-01,31926.0,20651.0,0.0,11275.0,8863.0
2026-01,2026-01-02,13682.0,11042.0,0.0,2640.0,8478.0
2026-01,2026-01-03,13258.0,11385.0,0.0,1873.0,2502.0
2026-01,2026-01-04,19110.0,15535.0,0.0,3575.0,2951.0
2026-01,2026-01-05,7826.0,5441.0,0.0,2385.0,2211.0
2026-01,2026-01-06,13743.0,7808.0,788.0,5147.0,1683.0
2026-01,2026-01-07,14012.0,12731.0,95.0,1186.0,455.0
2026-01,2026-01-08,8261.0,5483.0,0.0,2778.0,156.0
2026-01,2026-01-09,14151.0,12224.0,1058.0,869.0,425.0
2026-01,2026-01-10,18673.0,15510.0,1033.0,2130.0,2555.0
2026-01,2026-01-11,10014.0,10291.0,0.0,-277.0,559.0
2026-01,2026-01-12,17416.0,9845.0,0.0,7571.0,3129.0
2026-01,2026-01-13,11661.0,7158.0,0.0,4503.0,817.0
2026-01,2026-01-14,11652.0,7404.0,499.0,3749.0,841.0
2026-01,2026-01-15,15932.0,13441.0,0.0,2491.0,523.0
2026-01,2026-01-16,9816.0,5862.0,0.0,3954.0,2496.0
2026-01,2026-01-17,14764.0,10393.0,2540.0,1831.0,83.0
2026-01,2026-01-18,19106.0,10402.0,1645.0,7059.0,2710.0
2026-01,2026-01-19,10222.0,7127.0,1240.0,1855.0,3785.0
2026-01,2026-01-20,13650.0,12819.0,0.0,831.0,1068.0
2026-01,2026-01-21,11695.0,8478.0,0.0,3217.0,1314.0
2026-01,2026-01-22,11097.0,6616.0,0.0,4481.0,1433.0
2026-01,2026-01-23,9826.0,8804.0,0.0,1022.0,158.0
2026-01,2026-01-24,20652.0,14939.0,922.0,4791.0,482.0
2026-01,2026-01-25,24083.0,15099.0,3663.0,5321.0,365.0
2026-01,2026-01-26,13779.0,9392.0,0.0,4387.0,2312.0
2026-01,2026-01-27,7667.0,3751.0,356.0,3560.0,642.0
2026-01,2026-01-28,12046.0,7969.0,1080.0,2997.0,171.0
2026-01,2026-01-29,18490.0,11962.0,2543.0,3985.0,1366.0
2026-01,2026-01-30,10612.0,5525.0,499.0,4588.0,1468.0
2026-01,2026-01-31,13106.0,10017.0,0.0,3089.0,1289.0
2025-12,2025-12-01,7920.0,5034.0,0.0,2886.0,2194.0
2025-12,2025-12-02,12439.0,9676.0,1058.0,1705.0,1174.0
2025-12,2025-12-03,14971.0,11507.0,1457.0,2007.0,1601.0
2025-12,2025-12-04,10448.0,7695.0,0.0,2753.0,417.0
2025-12,2025-12-05,12941.0,10474.0,1050.0,1417.0,834.0
2025-12,2025-12-06,12970.0,7335.0,0.0,5635.0,179.0
2025-12,2025-12-07,6669.0,5271.0,0.0,1398.0,582.0
2025-12,2025-12-08,15210.0,10904.0,600.0,3706.0,584.0
2025-12,2025-12-09,9642.0,6000.0,0.0,3642.0,770.0
2025-12,2025-12-10,16047.0,11473.0,2035.0,2539.0,355.0
2025-12,2025-12-11,14841.0,10714.0,0.0,4127.0,407.0
2025-12,2025-12-12,12480.0,10596.0,858.0,1026.0,189.0
2025-12,2025-12-13,24433.0,18053.0,1797.0,4583.0,651.0
2025-12,2025-12-14,19533.0,11482.0,1046.0,7005.0,821.0
2025-12,2025-12-15,8723.0,8050.0,0.0,673.0,373.0
2025-12,2025-12-16,11542.0,6701.0,0.0,4841.0,653.0
2025-12,2025-12-17,4916.0,3622.0,0.0,1294.0,226.0
2025-12,2025-12-18,10520.0,4995.0,538.0,4987.0,456.0
2025-12,2025-12-19,11162.0,8825.0,362.0,1975.0,219.0
2025-12,2025-12-20,12697.0,9868.0,1107.0,1722.0,161.0
2025-12,2025-12-21,19747.0,15327.0,1002.0,3418.0,321.0
2025-12,2025-12-22,14158.0,7853.0,1248.0,5057.0,1751.0
2025-12,2025-12-23,15095.0,11208.0,566.0,3321.0,670.0
2025-12,2025-12-24,24183.0,17481.0,1016.0,5686.0,760.0
2025-12,2025-12-25,26935.0,20861.0,1652.0,4422.0,916.0
2025-12,2025-12-26,16415.0,10757.0,1159.0,4499.0,849.0
2025-12,2025-12-27,20589.0,14023.0,404.0,6162.0,4991.0
2025-12,2025-12-28,20653.0,14171.0,1111.0,5371.0,7247.0
2025-12,2025-12-29,17993.0,13961.0,1821.0,2211.0,2001.0
2025-12,2025-12-30,23893.0,13426.0,4495.0,5972.0,947.0
2025-12,2025-12-31,29124.0,18913.0,944.0,9267.0,2482.0
2025-11,2025-11-01,12231.0,7122.0,1528.0,3581.0,217.0
2025-11,2025-11-02,20182.0,11637.0,1562.0,6983.0,4715.0
2025-11,2025-11-03,12055.0,9600.0,0.0,2455.0,2514.0
2025-11,2025-11-04,7658.0,5682.0,719.0,1257.0,408.0
2025-11,2025-11-05,7842.0,4756.0,0.0,3086.0,25.0
2025-11,2025-11-06,8983.0,5830.0,0.0,3153.0,416.0
2025-11,2025-11-07,10457.0,6956.0,0.0,3501.0,437.0
2025-11,2025-11-08,21693.0,12789.0,0.0,8904.0,771.0
2025-11,2025-11-09,17056.0,9843.0,1845.0,5368.0,1281.0
2025-11,2025-11-10,6265.0,4499.0,0.0,1766.0,191.0
2025-11,2025-11-11,15334.0,11273.0,0.0,4061.0,1440.0
2025-11,2025-11-12,10992.0,8040.0,0.0,2952.0,749.0
2025-11,2025-11-13,14781.0,10760.0,0.0,4021.0,300.0
2025-11,2025-11-14,9743.0,5968.0,707.0,3068.0,238.0
2025-11,2025-11-15,10493.0,8096.0,346.0,2051.0,1041.0
2025-11,2025-11-16,18839.0,14689.0,0.0,4150.0,1872.0
2025-11,2025-11-17,11013.0,9426.0,0.0,1587.0,3340.0
2025-11,2025-11-18,8351.0,6064.0,0.0,2287.0,1534.0
2025-11,2025-11-19,55748.0,36183.0,1478.0,18087.0,9101.0
2025-11,2025-11-20,14601.0,8658.0,429.0,5514.0,742.0
2025-11,2025-11-21,15077.0,8078.0,657.0,6342.0,316.0
2025-11,2025-11-22,17089.0,12340.0,429.0,4320.0,1092.0
2025-11,2025-11-23,14891.0,10954.0,456.0,3481.0,967.0
2025-11,2025-11-24,12698.0,6329.0,0.0,6369.0,1551.0
2025-11,2025-11-25,7174.0,4253.0,0.0,2921.0,152.0
2025-11,2025-11-26,18073.0,13109.0,907.0,4057.0,177.0
2025-11,2025-11-27,15029.0,9866.0,0.0,5163.0,254.0
2025-11,2025-11-28,10584.0,7945.0,0.0,2639.0,384.0
2025-11,2025-11-29,18157.0,7705.0,1279.0,9173.0,2912.0
2025-11,2025-11-30,17499.0,12243.0,0.0,5256.0,4988.0
2025-10,2025-10-01,18785.0,11135.0,4900.0,2750.0,7169.0
2025-10,2025-10-02,17914.0,12223.0,1412.0,4279.0,7717.0
2025-10,2025-10-03,10283.0,8026.0,0.0,2257.0,6772.0
2025-10,2025-10-04,23063.0,11781.0,4727.0,6555.0,5967.0
2025-10,2025-10-05,21544.0,16807.0,774.0,3963.0,4408.0
2025-10,2025-10-06,9738.0,6797.0,0.0,2941.0,5267.0
2025-10,2025-10-07,10074.0,7000.0,0.0,3074.0,2906.0
2025-10,2025-10-08,13002.0,8440.0,0.0,4562.0,1457.0
2025-10,2025-10-09,16242.0,10583.0,0.0,5659.0,5446.0
2025-10,2025-10-10,13818.0,6917.0,499.0,6402.0,6529.0
2025-10,2025-10-11,11234.0,9071.0,0.0,2163.0,3630.0
2025-10,2025-10-12,12877.0,9813.0,596.0,2468.0,4146.0
2025-10,2025-10-13,8397.0,4819.0,0.0,3578.0,1409.0
2025-10,2025-10-14,11927.0,8861.0,0.0,3066.0,724.0
2025-10,2025-10-15,14020.0,9628.0,0.0,4392.0,2530.0
2025-10,2025-10-16,10278.0,6654.0,0.0,3624.0,3015.0
2025-10,2025-10-17,9672.0,7805.0,406.0,1461.0,346.0
2025-10,2025-10-18,12746.0,10633.0,0.0,2113.0,335.0
2025-10,2025-10-19,16603.0,4789.0,5644.0,6170.0,1025.0
2025-10,2025-10-20,13786.0,7241.0,1652.0,4893.0,1288.0
2025-10,2025-10-21,16112.0,13140.0,0.0,2972.0,198.0
2025-10,2025-10-22,21988.0,12117.0,0.0,9871.0,5231.0
2025-10,2025-10-23,10881.0,7945.0,198.0,2738.0,5476.0
2025-10,2025-10-24,15218.0,10637.0,1121.0,3460.0,4762.0
2025-10,2025-10-25,21272.0,12463.0,2467.0,6342.0,4120.0
2025-10,2025-10-26,17358.0,8695.0,2774.0,5889.0,6972.0
2025-10,2025-10-27,10854.0,7146.0,0.0,3708.0,3444.0
2025-10,2025-10-28,14448.0,8165.0,1245.0,5038.0,6542.0
2025-10,2025-10-29,12687.0,10217.0,0.0,2470.0,5761.0
2025-10,2025-10-30,14561.0,12001.0,1137.0,1423.0,4008.0
2025-10,2025-10-31,10987.0,7533.0,314.0,3140.0,4613.0
2025-09,2025-09-01,12103.0,5544.0,0.0,6559.0,12830.0
2025-09,2025-09-02,15746.0,11231.0,0.0,4515.0,7270.0
2025-09,2025-09-03,20806.0,12511.0,3038.0,5257.0,1299.0
2025-09,2025-09-04,13872.0,10620.0,1228.0,2024.0,1035.0
2025-09,2025-09-05,20113.0,11481.0,2806.0,5826.0,1963.0
2025-09,2025-09-06,32085.0,23528.0,0.0,8557.0,5284.0
2025-09,2025-09-07,21174.0,12267.0,457.0,8450.0,10530.0
2025-09,2025-09-08,10499.0,7665.0,1773.0,1061.0,3826.0
2025-09,2025-09-09,13870.0,7244.0,1401.0,5225.0,4176.0
2025-09,2025-09-10,18515.0,10415.0,0.0,8100.0,5922.0
2025-09,2025-09-11,12285.0,10812.0,0.0,1473.0,4124.0
2025-09,2025-09-12,5801.0,3577.0,0.0,2224.0,1643.0
2025-09,2025-09-13,22611.0,15740.0,0.0,6871.0,3689.0
2025-09,2025-09-14,16229.0,14481.0,0.0,1748.0,3591.0
2025-09,2025-09-15,11427.0,9172.0,0.0,2255.0,1704.0
2025-09,2025-09-16,11206.0,9039.0,1932.0,235.0,629.0
2025-09,2025-09-17,6081.0,2146.0,701.0,3234.0,288.0
2025-09,2025-09-18,10758.0,4116.0,0.0,6642.0,757.0
2025-09,2025-09-19,15324.0,12946.0,0.0,2378.0,866.0
2025-09,2025-09-20,14886.0,10086.0,1283.0,3517.0,207.0
2025-09,2025-09-21,17035.0,8796.0,1510.0,6729.0,5758.0
2025-09,2025-09-22,9959.0,5026.0,519.0,4414.0,6966.0
2025-09,2025-09-23,7264.0,6016.0,0.0,1248.0,934.0
2025-09,2025-09-24,9484.0,5655.0,1342.0,2487.0,563.0
2025-09,2025-09-25,11390.0,7451.0,583.0,3356.0,481.0
2025-09,2025-09-26,17828.0,11211.0,0.0,6617.0,3372.0
2025-09,2025-09-27,17479.0,9372.0,6237.0,1870.0,611.0
2025-09,2025-09-28,18118.0,10183.0,989.0,6946.0,3214.0
2025-09,2025-09-29,12959.0,7693.0,0.0,5266.0,7364.0
2025-09,2025-09-30,29586.0,19392.0,923.0,9271.0,8007.0
2025-08,2025-08-01,11456.0,4590.0,1933.0,4933.0,7475.0
2025-08,2025-08-02,25186.0,15178.0,2487.0,7521.0,12113.0
2025-08,2025-08-03,15797.0,12560.0,812.0,2425.0,10689.0
2025-08,2025-08-04,13565.0,9896.0,0.0,3669.0,13058.0
2025-08,2025-08-05,11673.0,6318.0,0.0,5355.0,15668.0
2025-08,2025-08-06,12367.0,6643.0,974.0,4750.0,12594.0
2025-08,2025-08-07,10153.0,7957.0,0.0,2196.0,13172.0
2025-08,2025-08-08,13174.0,11123.0,0.0,2051.0,12316.0
2025-08,2025-08-09,21954.0,14321.0,806.0,6827.0,11582.0
2025-08,2025-08-10,20511.0,14428.0,1463.0,4620.0,12679.0
2025-08,2025-08-11,13950.0,6489.0,0.0,7461.0,17453.0
2025-08,2025-08-12,11746.0,8773.0,0.0,2973.0,12814.0
2025-08,2025-08-13,16673.0,10711.0,314.0,5648.0,12690.0
2025-08,2025-08-14,14257.0,7728.0,0.0,6529.0,16204.0
2025-08,2025-08-15,21331.0,13774.0,1137.0,6420.0,19468.0
2025-08,2025-08-16,23945.0,14806.0,1764.0,7375.0,21538.0
2025-08,2025-08-17,17597.0,9602.0,0.0,7995.0,26792.0
