Month_code,item_name,consumed-stock_amount,Total Sales[POS Sales less GST + Swiggy to Loocos],consumed-stock_amount%
2026-01,7up 1 ltr,487.74,89274.65,0.55
2026-01,7up 250ml Pet,350.0,89274.65,0.39
2026-01,7up can 300ml,171.45,89274.65,0.19
2026-01,7up750mlpet,1306.44,89274.65,1.46
2026-01,Aqua Fina Mineral Water 1Ltr,276.76,89274.65,0.31
2026-01,Aromat Seasoning Powder,86.0,89274.65,0.1
2026-01,BBQ Mix Masala,1720.5,89274.65,1.93
2026-01,Berry Fresh Chicku Pulp,336.0,89274.65,0.38
2026-01,Blue curacao mojito,1291.5,89274.65,1.45
2026-01,Boneless Chicken,10372.09,89274.65,11.62
2026-01,Bread Premix,840.0,89274.65,0.94
2026-01,Brownie,770.0,89274.65,0.86
2026-01,Butter,1140.0,89274.65,1.28
2026-01,Butter Scotch Ice-cream,688.0,89274.65,0.77
2026-01,CHILLY FLAKES SACHET 0.8GM,572.0,89274.65,0.64
2026-01,Celotape-3/4inch-,115.0,89274.65,0.13
2026-01,Chettinad Mix,97.65,89274.65,0.11
2026-01,Chicken Sausage,550.0,89274.65,0.62
2026-01,Chicken burger pattis,1713.6,89274.65,1.92
2026-01,Chocolate Ice-cream 4ltr,2284.8,89274.65,2.56
2026-01,Corn Meal - MAKKA RAVA,55.0,89274.65,0.06
2026-01,DVC Green Apple 750 ML,460.0,89274.65,0.52
2026-01,DVC PASSION FRUIT FLV SYRUP 750ML,1380.0,89274.65,1.55
2026-01,DVC Watermelon Syrup 750 ml,519.2,89274.65,0.58
2026-01,Dew 250ml Pet,350.0,89274.65,0.39
2026-01,Dew 750ml Pet,756.14,89274.65,0.85
2026-01,Dew can 300ml,411.48,89274.65,0.46
2026-01,Dip Bowl,200.0,89274.65,0.22
2026-01,ENGLISH vegetables,1504.0,89274.65,1.68
2026-01,Egg 7.5,75.0,89274.65,0.08
2026-01,French Fries Box,668.75,89274.65,0.75
2026-01,G.Crown Mushroom Slice 800g,2678.0,89274.65,3.0
2026-01,Garlic Bread Box,1125.0,89274.65,1.26
2026-01,Gas-LPG-HPCL,6055.0,89274.65,6.78
2026-01,Green Peas,170.0,89274.65,0.19
2026-01,HABIT JALAPENO SLICES 2.9 KG,1112.0,89274.65,1.25
2026-01,Herb Mix Masla,3345.0,89274.65,3.75
2026-01,Honey,488.0,89274.65,0.55
2026-01,Honey mustard dressing,635.61,89274.65,0.71
2026-01,Lamp Pepperoni,895.0,89274.65,1.0
2026-01,Large Pizza Box,3712.5,89274.65,4.16
2026-01,Lehar Soda,474.24,89274.65,0.53
2026-01,Mayonise premium,345.0,89274.65,0.39
2026-01,Mexican Masala,1037.5,89274.65,1.16
2026-01,Mini Burger Box,280.0,89274.65,0.31
2026-01,Mojito Menta Cubano,1840.0,89274.65,2.06
2026-01,Moktails Glass,1320.0,89274.65,1.48
2026-01,OREGANO SACHET 0.8GM,897.0,89274.65,1.0
2026-01,Oregano Sprinkler 500g,614.0,89274.65,0.69
2026-01,POTATO POPS,261.42,89274.65,0.29
2026-01,Paneer,1160.0,89274.65,1.3
2026-01,Pasta Container Black,1790.0,89274.65,2.01
2026-01,Pepsi 250ml Pet,997.5,89274.65,1.12
2026-01,Pepsi 750ml Pet,1855.98,89274.65,2.08
2026-01,Pineapple slice-Tajir Habit-850g,441.0,89274.65,0.49
2026-01,Piri Piri Marinade 1KG,356.0,89274.65,0.4
2026-01,Pizza Premix,75.6,89274.65,0.08
2026-01,Pizza sauce premix,1300.0,89274.65,1.46
2026-01,Processed cheese block,1299.38,89274.65,1.46
2026-01,Puramate Pasta-Gomiti Rigate - macroni - 500g,268.0,89274.65,0.3
2026-01,Puramate Pasta-Penne Rigatte 500g,737.0,89274.65,0.83
2026-01,Regular Pizza Box,1700.0,89274.65,1.9
2026-01,Richs versatie cream,2256.0,89274.65,2.53
2026-01,Rose lichy crush mojito,346.5,89274.65,0.39
2026-01,Salad Bowl 250ml,1050.0,89274.65,1.18
2026-01,Salad Bowl 500ml,982.5,89274.65,1.1
2026-01,Schezwan sauce,525.96,89274.65,0.59
2026-01,Slice Mango 200ml pet,424.08,89274.65,0.48
2026-01,Strawberry-Ice cream,1069.3,89274.65,1.2
2026-01,TOMATO 10KG,420.0,89274.65,0.47
2026-01,Tandoori mix Masala,1411.0,89274.65,1.58
2026-01,Tissue,72.0,89274.65,0.08
2026-01,Vanilla Ice-cream 4ltr,652.8,89274.65,0.73
2026-01,Veeba Eggless Mayonise Chef 1KG,1687.2,89274.65,1.89
2026-01,Veeba Gouda Flavoured Dressing,1704.42,89274.65,1.91
2026-01,Veeba Ketchup Sachet,1944.0,89274.65,2.18
2026-01,Veeba ThousandIsland Dressing 1KG,366.0,89274.65,0.41
2026-01,Veg burger pattis,420.0,89274.65,0.47
2026-01,Zippy  B.Fast Sausage ,295.44,89274.65,0.33
2026-01,Zippy Chicken Salami,927.0,89274.65,1.04
2026-01,bio covers,390.0,89274.65,0.44
2026-01,bio glass,80.0,89274.65,0.09
2026-01,black olive slice Habit,2313.0,89274.65,2.59
2026-01,cheesy spread dip,1237.52,89274.65,1.39
