Month_code,Category,consumed-stock_amount,Total Sales[POS Sales less GST + Swiggy to Loocos],consumed-stock_amount%
2026-03,PACKAGING MATERIALS,23358.8,19444.6,120.13
2026-03,CHEESE & DAIRY,21701.79,19444.6,111.61
2026-03,MASALA & SEASONINGS,17116.6,19444.6,88.03
2026-03,UNMAPPED,14417.17,19444.6,74.14
2026-03,SAUCES & SPREADS,9635.9,19444.6,49.56
2026-03,MEAT & POULTRY,9052.02,19444.6,46.55
2026-03,BAKERY & PREMIX,7461.8,19444.6,38.37
2026-03,FRUITS,4369.95,19444.6,22.47
2026-03,UTILITIES & EXPENSES,3560.0,19444.6,18.31
2026-03,VEGETABLES,3390.0,19444.6,17.43
2026-03,OILS,2619.0,19444.6,13.47
2026-03,STATIONERY & MISC,1025.0,19444.6,5.27
2026-03,BEVERAGES,1012.0,19444.6,5.2
2026-03,"FLOUR, GRAINS & DRY GOODS",875.0,19444.6,4.5
2026-03,KITCHEN EQUIPMENT & UTENSILS,675.0,19444.6,3.47
2026-03,FROZEN ITEMS,635.46,19444.6,3.27
2026-02,UNMAPPED,30935.66,375917.45,8.23
2026-02,CHEESE & DAIRY,28254.300000000003,375917.45,7.52
2026-02,MEAT & POULTRY,20199.38,375917.45,5.37
2026-02,BEVERAGES,17541.53,375917.45,4.67
2026-02,UTILITIES & EXPENSES,15005.0,375917.45,3.99
2026-02,SAUCES & SPREADS,12173.72,375917.45,3.24
2026-02,MASALA & SEASONINGS,10170.1,375917.45,2.71
2026-02,PACKAGING MATERIALS,9274.3,375917.45,2.47
2026-02,"FLOUR, GRAINS & DRY GOODS",7808.0,375917.45,2.08
2026-02,BAKERY & PREMIX,5128.400000000001,375917.45,1.36
2026-02,VEGETABLES,4882.0,375917.45,1.3
2026-02,OILS,3764.0,375917.45,1.0
2026-02,FROZEN ITEMS,3422.54,375917.45,0.91
2026-02,STATIONERY & MISC,2450.0,375917.45,0.65
2026-02,FRUITS,2267.3199999999997,375917.45,0.6
2026-02,KITCHEN EQUIPMENT & UTENSILS,0.0,375917.45,0.0
2026-01,CHEESE & DAIRY,50197.24,464506.6,10.81
2026-01,MEAT & POULTRY,30813.64,464506.6,6.63
2026-01,UNMAPPED,30035.32,464506.6,6.47
2026-01,UTILITIES & EXPENSES,15570.0,464506.6,3.35
2026-01,BEVERAGES,12361.42,464506.6,2.66
2026-01,PACKAGING MATERIALS,9541.45,464506.6,2.05
2026-01,"FLOUR, GRAINS & DRY GOODS",8568.0,464506.6,1.84
2026-01,SAUCES & SPREADS,7792.83,464506.6,1.68
2026-01,OILS,6797.5,464506.6,1.46
2026-01,BAKERY & PREMIX,5107.400000000001,464506.6,1.1
2026-01,MASALA & SEASONINGS,5111.950000000001,464506.6,1.1
2026-01,VEGETABLES,4969.0,464506.6,1.07
2026-01,FROZEN ITEMS,3561.13,464506.6,0.77
2026-01,FRUITS,1586.68,464506.6,0.34
2026-01,STATIONERY & MISC,1410.0,464506.6,0.3
2025-12,CHEESE & DAIRY,43296.12,494089.55,8.76
2025-12,UNMAPPED,36067.06,494089.55,7.3
2025-12,MEAT & POULTRY,23848.09,494089.55,4.83
2025-12,PACKAGING MATERIALS,15010.95,494089.55,3.04
2025-12,SAUCES & SPREADS,11448.25,494089.55,2.32
2025-12,BEVERAGES,11116.49,494089.55,2.25
2025-12,MASALA & SEASONINGS,8795.949999999999,494089.55,1.78
2025-12,"FLOUR, GRAINS & DRY GOODS",7212.9,494089.55,1.46
2025-12,UTILITIES & EXPENSES,7125.0,494089.55,1.44
2025-12,BAKERY & PREMIX,6848.4,494089.55,1.39
2025-12,VEGETABLES,5718.0,494089.55,1.16
2025-12,FROZEN ITEMS,4808.34,494089.55,0.97
2025-12,OILS,3361.9,494089.55,0.68
2025-12,FRUITS,3014.25,494089.55,0.61
2025-12,STATIONERY & MISC,2031.0,494089.55,0.41
2025-12,KITCHEN EQUIPMENT & UTENSILS,675.0,494089.55,0.14
2025-12,CLEANING SUPPLIES,287.5,494089.55,0.06
2025-11,UNMAPPED,47576.44,454730.6,10.46
2025-11,CHEESE & DAIRY,40894.78,454730.6,8.99
2025-11,MEAT & POULTRY,26040.17,454730.6,5.73
2025-11,UTILITIES & EXPENSES,19580.0,454730.6,4.31
2025-11,VEGETABLES,14033.0,454730.6,3.09
2025-11,PACKAGING MATERIALS,11583.0,454730.6,2.55
2025-11,BEVERAGES,9778.68,454730.6,2.15
2025-11,SAUCES & SPREADS,8607.2,454730.6,1.89
2025-11,BAKERY & PREMIX,6435.4,454730.6,1.42
2025-11,MASALA & SEASONINGS,6312.37,454730.6,1.39
2025-11,FRUITS,2061.25,454730.6,0.45
2025-11,STATIONERY & MISC,1830.0,454730.6,0.4
2025-11,FROZEN ITEMS,874.4799999999998,454730.6,0.19
2025-11,OILS,299.7,454730.6,0.07
2025-11,"FLOUR, GRAINS & DRY GOODS",245.5,454730.6,0.05
2025-11,KITCHEN EQUIPMENT & UTENSILS,0.0,454730.6,0.0
2025-11,CLEANING SUPPLIES,-287.5,454730.6,-0.06
2025-10,CHEESE & DAIRY,43172.77,455473.55,9.48
2025-10,UNMAPPED,38636.43,455473.55,8.48
2025-10,MEAT & POULTRY,23429.210000000003,455473.55,5.14
2025-10,UTILITIES & EXPENSES,15530.0,455473.55,3.41
2025-10,BEVERAGES,12141.19,455473.55,2.67
2025-10,SAUCES & SPREADS,9096.58,455473.55,2.0
2025-10,PACKAGING MATERIALS,8489.6,455473.55,1.86
2025-10,MASALA & SEASONINGS,7924.990000000001,455473.55,1.74
2025-10,VEGETABLES,5787.0,455473.55,1.27
2025-10,BAKERY & PREMIX,2903.6,455473.55,0.64
2025-10,STATIONERY & MISC,2615.0,455473.55,0.57
2025-10,FROZEN ITEMS,1666.97,455473.55,0.37
2025-10,FRUITS,1482.25,455473.55,0.33
2025-10,OILS,828.9,455473.55,0.18
2025-10,"FLOUR, GRAINS & DRY GOODS",461.5,455473.55,0.1
2025-09,CHEESE & DAIRY,40139.770000000004,480840.35,8.35
2025-09,UNMAPPED,34968.69,480840.35,7.27
2025-09,MEAT & POULTRY,22126.72,480840.35,4.6
2025-09,UTILITIES & EXPENSES,15490.0,480840.35,3.22
2025-09,BEVERAGES,12059.89,480840.35,2.51
2025-09,PACKAGING MATERIALS,11879.800000000001,480840.35,2.47
2025-09,VEGETABLES,11601.8,480840.35,2.41
2025-09,SAUCES & SPREADS,10660.5,480840.35,2.22
2025-09,FROZEN ITEMS,9596.01,480840.35,2.0
2025-09,BAKERY & PREMIX,8066.0,480840.35,1.68
2025-09,MASALA & SEASONINGS,6972.16,480840.35,1.45
