Month_code,Category,Subcategory,Item_Name,consumed-stock_amount,YEAR_MONTH,Total Sales[POS Sales less GST + Swiggy to Loocos],consumed-stock_amount%
2026-03,BAKERY & PREMIX,bread premix,Bread Premix,327.6,2026-03,35872.95,0.91
2026-03,BAKERY & PREMIX,brownie,Brownie,1925.0,2026-03,35872.95,5.37
2026-03,BAKERY & PREMIX,chocolate chips,chocolate chips,270.0,2026-03,35872.95,0.75
2026-03,BAKERY & PREMIX,pizza premix,Pizza Premix,4939.2,2026-03,35872.95,13.77
2026-03,BEVERAGES,7up,7up can 300ml,857.25,2026-03,35872.95,2.39
2026-03,BEVERAGES,7up,7up 1 ltr,753.78,2026-03,35872.95,2.1
2026-03,BEVERAGES,7up,7UP 750ml Pet,687.4,2026-03,35872.95,1.92
2026-03,BEVERAGES,7up,7up 250ml Pet,612.5,2026-03,35872.95,1.71
2026-03,BEVERAGES,aqua fina,Aqua Fina Mineral Water 1Ltr,125.8,2026-03,35872.95,0.35
2026-03,BEVERAGES,dew,Dew 250ml Pet,787.5,2026-03,35872.95,2.2
2026-03,BEVERAGES,dew,Dew 750ml Pet,446.81,2026-03,35872.95,1.25
2026-03,BEVERAGES,dew,Dew can 300ml,68.58,2026-03,35872.95,0.19
2026-03,BEVERAGES,lehar soda,Lehar Soda,370.5,2026-03,35872.95,1.03
2026-03,BEVERAGES,mojito mint,Mojito Menta Cubano,552.0,2026-03,35872.95,1.54
2026-03,BEVERAGES,passion fruit syrup,DVC PASSION FRUIT FLV SYRUP 750ML,460.0,2026-03,35872.95,1.28
2026-03,BEVERAGES,pepsi,Pepsi 250ml Pet,1085.0,2026-03,35872.95,3.02
2026-03,BEVERAGES,pepsi,Pepsi 750ml Pet,549.92,2026-03,35872.95,1.53
2026-03,BEVERAGES,pepsi,pepsi 1 ltr,532.08,2026-03,35872.95,1.48
2026-03,BEVERAGES,slice mango,Slice Mango 200ml pet,159.03,2026-03,35872.95,0.44
2026-03,BEVERAGES,tropicana guava,Tropicana Guava Delight 500ml,526.68,2026-03,35872.95,1.47
2026-03,CHEESE & DAIRY,butter,butter scotch ice cream 4 ltr,773.0,2026-03,35872.95,2.15
2026-03,CHEESE & DAIRY,butter,Butter,760.0,2026-03,35872.95,2.12
2026-03,CHEESE & DAIRY,butter,milky mist butter 500gm,624.5,2026-03,35872.95,1.74
2026-03,CHEESE & DAIRY,butter,Butter Scotch Sauce 750ml,257.4,2026-03,35872.95,0.72
2026-03,CHEESE & DAIRY,diced mozzarella,dynamic diced mozerella,8468.33,2026-03,35872.95,23.61
2026-03,CHEESE & DAIRY,fresh cream,Richs versatie cream,2632.0,2026-03,35872.95,7.34
2026-03,CHEESE & DAIRY,fresh cream,Chocolate Ice-cream 4ltr,1632.0,2026-03,35872.95,4.55
2026-03,CHEESE & DAIRY,fresh cream,Vanilla Ice-cream 4ltr,924.8,2026-03,35872.95,2.58
2026-03,CHEESE & DAIRY,fresh cream,Strawberry-Ice cream,880.6,2026-03,35872.95,2.45
2026-03,CHEESE & DAIRY,milk,milk shake assorted,264.0,2026-03,35872.95,0.74
2026-03,CHEESE & DAIRY,milk,milk fruits sugar balls,177.0,2026-03,35872.95,0.49
2026-03,CHEESE & DAIRY,milk,milk,75.0,2026-03,35872.95,0.21
2026-03,CHEESE & DAIRY,paneer,paneer tikka powder,1620.0,2026-03,35872.95,4.52
2026-03,CHEESE & DAIRY,paneer,Paneer,580.0,2026-03,35872.95,1.62
2026-03,CHEESE & DAIRY,processed cheese,Processed cheese block,1039.5,2026-03,35872.95,2.9
2026-03,CHEESE & DAIRY,slice cheese,slice cheese,1257.66,2026-03,35872.95,3.51
