item_name,category,subcategory,matched_term,match_score
BREAD PREMIX,BAKERY & PREMIX,bread premix,bread premix,1.0
Bread Premix,BAKERY & PREMIX,bread premix,bread premix,1.0
Bread Primix,BAKERY & PREMIX,bread primix,bread primix,1.0
Bread Primix-1kg,BAKERY & PREMIX,bread primix,bread primix,0.92
Brownie,BAKERY & PREMIX,brownie,brownie,1.0
Browny,BAKERY & PREMIX,browny,browny,1.0
Browny-1kg,BAKERY & PREMIX,browny,browny,0.92
Looco'S-Browny-1Kg,BAKERY & PREMIX,browny,browny,0.92
Looco'S-Pizza Primix-1Kg,BAKERY & PREMIX,pizza premix,pizza premix,0.6111
PIZZA PREMIX,BAKERY & PREMIX,pizza premix,pizza premix,1.0
Pizza Premix,BAKERY & PREMIX,pizza premix,pizza premix,1.0
Pizza Primix,BAKERY & PREMIX,pizza premix,pizza premix,0.9167
Pizza Primix-1kg,BAKERY & PREMIX,pizza premix,pizza premix,0.7857
Royal HyperMarket-Hersheys Cocoa powder,BAKERY & PREMIX,cocoa powder,cocoa powder,0.92
bred premix,BAKERY & PREMIX,bread premix,bread premix,0.9565
burger bun 4,BAKERY & PREMIX,burger bun,burger bun,0.92
burger buns,BAKERY & PREMIX,burger bun,burger bun,0.9524
chocolate chips,BAKERY & PREMIX,chocolate chips,chocolate chips,1.0
7UP 1250ml Pet,BEVERAGES,7up,7up,0.92
7UP 250 PET,BEVERAGES,7up,7up,0.92
7UP 750 PET,BEVERAGES,7up,7up,0.92
7UP 750ml Pet,BEVERAGES,7up,7up,0.92
7up 1 ltr,BEVERAGES,7up,7up,0.92
7up 250ml Can,BEVERAGES,7up,7up,0.92
7up 250ml Pet,BEVERAGES,7up,7up,0.92
7up 250ml can,BEVERAGES,7up,7up,0.92
7up 600ml,BEVERAGES,7up,7up,0.92
7up can,BEVERAGES,7up,7up,0.95
7up can 300ml,BEVERAGES,7up,7up,0.92
7up can-250ml,BEVERAGES,7up,7up,0.92
7up pet,BEVERAGES,7up,7up,0.95
7up pet 750ml,BEVERAGES,7up,7up,0.92
7up pet-1250ml,BEVERAGES,7up,7up,0.92
7up pet-250ml,BEVERAGES,7up,7up,0.92
7up pet-750ml,BEVERAGES,7up,7up,0.92
7up zero sugar 400ml,BEVERAGES,7up,7up,0.92
7up750mlpet,BEVERAGES,7up,7up,0.92
Aqua Fina,BEVERAGES,aqua fina,aqua fina,1.0
Aqua Fina 1.0 L,BEVERAGES,aqua fina,aqua fina,0.92
Aqua Fina Mineral Water 1Ltr,BEVERAGES,aqua fina,aqua fina,0.92
Aqua Fina-1ltr,BEVERAGES,aqua fina,aqua fina,0.92
Blue Occean Flv Syrup,BEVERAGES,blue occean syrup,blue occean syrup,0.9
Blue Occean Flv Syrup-750ml,BEVERAGES,blue occean syrup,blue occean syrup,0.9
DVC BLUE OCCEAN FLV SYRUP 750ML,BEVERAGES,blue occean syrup,blue occean syrup,0.9
DVC Bubblegum Syrup Syrup 750 ml,BEVERAGES,bubblegum syrup,bubblegum syrup,0.92
DVC Cucumber Syrup 750 ml,BEVERAGES,cucumber syrup,cucumber syrup,0.92
DVC MOJITO MINT 750ML,BEVERAGES,mojito mint,mojito mint,0.92
DVC Mango Beverage Blend Syrup 750 ml,BEVERAGES,mango syrup,mango syrup,0.9
DVC Mixed Berry Beverage Blend Syrup 750 ml,BEVERAGES,mixed berry syrup,mixed berry syrup,0.9
DVC PASSION FRUIT FLV SYRUP 750ML,BEVERAGES,passion fruit syrup,passion fruit syrup,0.9
DVC Passion Fruit 750ML,BEVERAGES,passion fruit syrup,passion fruit syrup,0.6667
DVC Peach Garden Syrup Syrup 750 ml,BEVERAGES,peach syrup,peach syrup,0.9
DVC Peach GardenSyrup 750 ml,BEVERAGES,peach syrup,peach syrup,0.5641
DVC Strawberry Syrup 750 ml,BEVERAGES,strawberry syrup,strawberry syrup,0.92
DVC Strawberry Syrup Syrup 750 ml,BEVERAGES,strawberry syrup,strawberry syrup,0.92
Dew,BEVERAGES,dew,dew,1.0
Dew 250 PET,BEVERAGES,dew,dew,0.92
Dew 250ml Can,BEVERAGES,dew,dew,0.92
Dew 250ml Pet,BEVERAGES,dew,dew,0.92
Dew 330 ml can,BEVERAGES,dew,dew,0.92
Dew 500ml Pet,BEVERAGES,dew,dew,0.92
Dew 600 ml,BEVERAGES,dew,dew,0.92
Dew 750 PET,BEVERAGES,dew,dew,0.92
Dew 750ml Pet,BEVERAGES,dew,dew,0.92
Dew Can,BEVERAGES,dew,dew,0.95
Dew Can-250ml,BEVERAGES,dew,dew,0.92
Dew can 300ml,BEVERAGES,dew,dew,0.92
Dew-250ml,BEVERAGES,dew,dew,0.92
Dew-500ml,BEVERAGES,dew,dew,0.92
Dew-750ml,BEVERAGES,dew,dew,0.92
Dusting-cloth,BEVERAGES,sting,sting,0.92
Dvc-Blue Occean Flv Syrup-750Ml,BEVERAGES,blue occean syrup,blue occean syrup,0.9
Dvc-Bubblegum-750Ml,BEVERAGES,bubblegum syrup,bubblegum syrup,0.5882
Dvc-Mixed Berry Beverage Blend-750Ml,BEVERAGES,mixed berry syrup,mixed berry syrup,0.6
Dvc-Passion Fruit-750Ml,BEVERAGES,passion fruit syrup,passion fruit syrup,0.6667
Dvc-Peach Garden Syrup-750Ml,BEVERAGES,peach syrup,peach syrup,0.9
Dvc-Strawberry-750Ml,BEVERAGES,strawberry syrup,strawberry syrup,0.6111
Lehar Soda,BEVERAGES,lehar soda,lehar soda,1.0
Lehar Soda-750ml,BEVERAGES,lehar soda,lehar soda,0.92
MBS Traders-Hersheys Chocolate syrup,BEVERAGES,strawberry syrup,strawberry syrup,0.5385
Mirinda,BEVERAGES,mirinda,mirinda,1.0
Mirinda 250ml pet,BEVERAGES,mirinda,mirinda,0.92
Mirinda 750 PET,BEVERAGES,mirinda,mirinda,0.92
Mirinda 750ml pet,BEVERAGES,mirinda,mirinda,0.92
Mirinda-250ml,BEVERAGES,mirinda,mirinda,0.92
Mirinda-750ml,BEVERAGES,mirinda,mirinda,0.92
Mojito Menta Cubano,BEVERAGES,mojito mint,mojito mint,0.6667
Passion Fruit,BEVERAGES,passion fruit syrup,passion fruit syrup,0.92
Passion Fruit-750ml,BEVERAGES,passion fruit syrup,passion fruit syrup,0.7368
Pepsi 1250ml Pet,BEVERAGES,pepsi,pepsi,0.92
Pepsi 250 PET,BEVERAGES,pepsi,pepsi,0.92
Pepsi 250ml Can,BEVERAGES,pepsi,pepsi,0.92
Pepsi 250ml Pet,BEVERAGES,pepsi,pepsi,0.92
Pepsi 750 PET,BEVERAGES,pepsi,pepsi,0.92
Pepsi 750ml Pet,BEVERAGES,pepsi,pepsi,0.92
Pepsi Can,BEVERAGES,pepsi,pepsi,0.95
Pepsi Can-250ml,BEVERAGES,pepsi,pepsi,0.92
Pepsi pet,BEVERAGES,pepsi,pepsi,0.95
Pepsi pet-1250ml,BEVERAGES,pepsi,pepsi,0.92
Pepsi pet-250ml,BEVERAGES,pepsi,pepsi,0.92
Pepsi pet-750ml,BEVERAGES,pepsi,pepsi,0.92
Pepsi-7Up Pet-1250Ml,BEVERAGES,pepsi,pepsi,0.92
Pepsi-7Up Pet-250Ml,BEVERAGES,pepsi,pepsi,0.92
Pepsi-7Up Pet-750Ml,BEVERAGES,pepsi,pepsi,0.92
Pepsi-Aqua Fina-1Ltr,BEVERAGES,pepsi,pepsi,0.92
Pepsi-Dew-500Ml,BEVERAGES,pepsi,pepsi,0.92
Pepsi-Dew-750Ml,BEVERAGES,pepsi,pepsi,0.92
Pepsi-Lehar Soda-750Ml,BEVERAGES,pepsi,pepsi,0.92
Pepsi-Mirinda-250Ml,BEVERAGES,pepsi,pepsi,0.92
Pepsi-Mirinda-750Ml,BEVERAGES,pepsi,pepsi,0.92
Pepsi-Pepsi Pet-1250Ml,BEVERAGES,pepsi,pepsi,0.92
Pepsi-Pepsi Pet-250Ml,BEVERAGES,pepsi,pepsi,0.92
Pepsi-Pepsi Pet-750Ml,BEVERAGES,pepsi,pepsi,0.92
Pepsi-Slice Mango-250Ml,BEVERAGES,pepsi,pepsi,0.92
Pepsi-Slice Mango-600Ml,BEVERAGES,pepsi,pepsi,0.92
Slice Mango,BEVERAGES,slice mango,slice mango,1.0
Slice Mango 200ml pet,BEVERAGES,slice mango,slice mango,0.92
Slice Mango 250ml pet,BEVERAGES,slice mango,slice mango,0.92
Slice Mango 600 PET,BEVERAGES,slice mango,slice mango,0.92
Slice Mango 600ml pet,BEVERAGES,slice mango,slice mango,0.92
Slice Mango-200ml,BEVERAGES,slice mango,slice mango,0.92
Slice Mango-250ml,BEVERAGES,slice mango,slice mango,0.92
Slice Mango-600ml,BEVERAGES,slice mango,slice mango,0.92
Sting 250ml pet,BEVERAGES,sting,sting,0.92
Straw,BEVERAGES,strawberry syrup,strawberry syrup,0.92
Strawberry,BEVERAGES,strawberry syrup,strawberry syrup,0.92
Strawberry sause 750,BEVERAGES,strawberry syrup,strawberry syrup,0.7222
Tropicana Guava Delight,BEVERAGES,tropicana guava,tropicana guava,0.92
Tropicana Guava Delight 500ml,BEVERAGES,tropicana guava,tropicana guava,0.92
Tropicana Mixed Fruit Delight,BEVERAGES,tropicana mixed fruit,tropicana mixed fruit,0.92
