month_code,Item_Name,UOM,Opening_Stock_Qty,Opening_Stock_Amt,Recieved_Stock_Qty,Recieved_Stock_Amt,Closing_Stock_Qty,Closing_Stock_Amt,Consumed_Stock_Qty,Consumed_Stock_Amt
2022-09,AMUL Mozzarella Diced 1Kg,Nos,0.0,0.0,60.0,25740.0,0.0,0.0,60.0,25740.0
2022-09,Maida(Porotta 50kg),Nos,0.0,0.0,3.0,6030.0,0.0,0.0,3.0,6030.0
2022-09,Veeba Pasta & Pizza Sauce 1KG,Nos,0.0,0.0,24.0,4320.0,0.0,0.0,24.0,4320.0
2022-09,Regular Pizza Box,Nos,0.0,0.0,500.0,4925.0,76.0,748.6,424.0,4176.4
2022-09,7UP 1250ml Pet,Case,0.0,0.0,5.0,3475.2,0.0,0.0,5.0,3475.2
2022-09,Mexican Masala,Kg,0.0,0.0,10.0,3752.0,1.7,637.84,8.3,3114.16
2022-09,Pepsi 1250ml Pet,Case,0.0,0.0,4.0,2780.16,0.0,0.0,4.0,2780.16
2022-09,7UP 750ml Pet,Case,0.0,0.0,3.0,2475.33,0.0,0.0,3.0,2475.33
2022-09,Pepsi 750ml Pet,Case,0.0,0.0,3.0,2475.33,0.0,0.0,3.0,2475.33
2022-09,Pepsi 250ml Pet,Case,0.0,0.0,4.0,2100.0,0.0,0.0,4.0,2100.0
2022-09,Medium Pizza Box,Nos,0.0,0.0,200.0,2454.0,46.0,564.42,154.0,1889.58
2022-09,Dew 750ml Pet,Case,0.0,0.0,2.0,1650.22,0.0,0.0,2.0,1650.22
2022-09,Pizza Premix,Kg,0.0,0.0,20.0,4305.0,12.7,2733.67,7.300000000000001,1571.33
2022-09,Veeba Gouda Flavoured Dressing,Nos,0.0,0.0,12.0,2520.0,5.0,1050.0,7.0,1470.0
2022-09,Milkymist Cheese BLock 1KG,Nos,0.0,0.0,3.0,1467.0,0.0,0.0,3.0,1467.0
2022-09,Brownie,Kg,0.0,0.0,5.0,1904.0,1.6,609.28,3.4,1294.72
2022-09,GO Colby Cheese Block 2kg,Nos,0.0,0.0,1.0,1220.0,0.0,0.0,1.0,1220.0
2022-09,Oregano Sprinkler 500g,Nos,0.0,0.0,4.0,1160.0,0.0,0.0,4.0,1160.0
2022-09,GO Orange Cheddar Cheese 2kg,Nos,0.0,0.0,1.0,1133.0,0.0,0.0,1.0,1133.0
2022-09,Summeru Neggets Premium 1KG,Nos,0.0,0.0,4.0,1112.0,0.0,0.0,4.0,1112.0
2022-09,7up 250ml Pet,Case,0.0,0.0,2.0,1050.0,0.0,0.0,2.0,1050.0
2022-09,Tandoori Masala,Kg,0.0,0.0,5.0,1764.0,2.4,846.72,2.6,917.28
2022-09,Mirinda 750ml pet,Case,0.0,0.0,1.0,825.11,0.0,0.0,1.0,825.11
2022-09,Noor Jahan Rice 25kg,Nos,0.0,0.0,1.0,812.5,0.0,0.0,1.0,812.5
2022-09,Lehar Soda,Case,0.0,0.0,2.0,790.08,0.0,0.0,2.0,790.08
2022-09,DVC CHocolate Sauce 2 LTR,Nos,0.0,0.0,1.0,767.0,0.0,0.0,1.0,767.0
2022-09,Tripod,Nos,0.0,0.0,500.0,740.0,0.0,0.0,500.0,740.0
2022-09,7up 250ml Can,Case,0.0,0.0,1.0,720.0,0.0,0.0,1.0,720.0
2022-09,JIVO Pomace Olive Oil ,Nos,0.0,0.0,2.0,670.02,0.0,0.0,2.0,670.02
2022-09,Veeba Makhani Gravy 1KG,Nos,0.0,0.0,3.0,631.68,0.0,0.0,3.0,631.68
2022-09,Veeba ThousandIsland Dressing 1KG,Nos,0.0,0.0,6.0,1127.94,3.0,563.97,3.0,563.97
2022-09,Slice Mango 250ml pet,Case,0.0,0.0,1.0,530.1,0.0,0.0,1.0,530.1
2022-09,Dew 250ml Pet,Case,0.0,0.0,1.0,525.0,0.0,0.0,1.0,525.0
2022-09,Mirinda 250ml pet,Case,0.0,0.0,1.0,525.0,0.0,0.0,1.0,525.0
2022-09,Puramate Pasta-Penne Rigatte 500g,Nos,0.0,0.0,5.0,510.0,0.0,0.0,5.0,510.0
2022-09,Aqua Fina 1.0 L,Case,0.0,0.0,3.0,504.0,0.0,0.0,3.0,504.0
2022-09,Garlic Bread Box,Nos,0.0,0.0,100.0,879.0,46.0,404.34,54.0,474.66
2022-09,DVC Mint Flavoured Syrup 750 ml,Nos,0.0,0.0,1.0,437.0,0.0,0.0,1.0,437.0
2022-09,Atta Loose,Kg,0.0,0.0,13.0,468.0,1.0,36.0,12.0,432.0
2022-09,Large Pizza Box,Nos,0.0,0.0,100.0,1475.0,73.0,1076.75,27.0,398.25
2022-09,Veeba Barbequesauce 1KG,Nos,0.0,0.0,2.0,332.0,0.0,0.0,2.0,332.0
2022-09,Zippy  B.Fast Sausage ,Nos,0.0,0.0,1.0,285.0,0.0,0.0,1.0,285.0
2022-09,Zippy Chicken Salami,Nos,0.0,0.0,1.0,279.0,0.0,0.0,1.0,279.0
2022-09,Eastern Coriander 1KG,Nos,0.0,0.0,1.0,235.01,0.0,0.0,1.0,235.01
