Month_code,Order_Date,Order_Label,Net_Amount,Gross_Amount
2026-01,2026-01-01,226223904266312,820.0,861.0
2026-01,2026-01-01,226245435020384,380.0,399.0
2026-01,2026-01-01,226233693823440,325.0,341.25
2026-01,2026-01-01,226248745087320,275.0,288.75
2026-01,2026-01-01,226221026573585,275.0,288.75
2026-01,2026-01-01,226229097676168,270.0,283.5
2026-01,2026-01-01,226230850392637,225.0,236.25
2026-01,2026-01-01,226229957356572,189.0,198.45
2026-01,2026-01-01,226221361513374,165.0,173.25
2026-01,2026-01-02,226322546536609,604.0,634.2
2026-01,2026-01-02,226326701715497,499.0,523.95
2026-01,2026-01-02,226308438526610,179.0,187.95
2026-01,2026-01-03,226416656848949,1510.0,1585.5
2026-01,2026-01-03,226417514232998,520.0,546.0
2026-01,2026-01-03,226422629932965,325.0,341.25
2026-01,2026-01-03,226399754200517,165.0,173.25
2026-01,2026-01-04,226497433114789,965.0,1013.25
2026-01,2026-01-04,226478017918757,660.0,693.0
2026-01,2026-01-04,226510132119102,605.0,635.25
2026-01,2026-01-04,226498978838333,375.0,393.75
2026-01,2026-01-04,226507960979191,325.0,341.25
2026-01,2026-01-04,226502932166992,275.0,288.75
2026-01,2026-01-04,226485618669775,265.0,278.25
2026-01,2026-01-05,226586356395884,365.0,383.25
2026-01,2026-01-05,226575348009346,335.0,351.75
2026-01,2026-01-05,226596960990642,325.0,341.25
2026-01,2026-01-06,226674017396997,1514.0,1589.7
2026-01,2026-01-06,226655136731392,785.0,824.25
2026-01,2026-01-06,226675471630559,703.0,738.15
2026-01,2026-01-06,226661813218223,605.0,635.25
2026-01,2026-01-06,226671236374114,550.0,577.5
2026-01,2026-01-07,226750631381252,670.0,703.5
2026-01,2026-01-07,226770627505195,399.0,418.95
2026-01,2026-01-07,226764596497971,275.0,288.75
2026-01,2026-01-07,226735280306037,265.0,278.25
2026-01,2026-01-08,226852127945695,774.0,812.7
2026-01,2026-01-08,226825015550487,520.0,546.0
2026-01,2026-01-08,226843387026264,395.0,414.75
2026-01,2026-01-09,226911899978267,275.0,288.75
2026-01,2026-01-09,226908574768530,275.0,288.75
2026-01,2026-01-09,226917598602629,225.0,236.25
2026-01,2026-01-10,227010858043670,1120.0,1176.0
2026-01,2026-01-10,227014193079111,1080.0,1134.0
2026-01,2026-01-10,227022706723261,834.0,875.7
2026-01,2026-01-10,227020371202170,675.0,708.75
2026-01,2026-01-10,227020429782735,550.0,577.5
2026-01,2026-01-10,227010038785948,500.0,525.0
2026-01,2026-01-10,227018356292694,325.0,341.25
2026-01,2026-01-10,227028319516493,205.0,215.25
2026-01,2026-01-11,227105160427338,673.0,706.65
2026-01,2026-01-11,227087374744561,540.0,567.0
2026-01,2026-01-11,227105944444011,335.0,351.75
2026-01,2026-01-11,227105288520934,325.0,341.25
2026-01,2026-01-11,227117480187218,295.0,309.75
2026-01,2026-01-11,227092892827348,235.0,246.75
2026-01,2026-01-12,227182274238609,659.0,691.95
2026-01,2026-01-12,227181882576459,610.0,640.5
2026-01,2026-01-12,227196249978616,545.0,572.25
2026-01,2026-01-12,227186536998010,320.0,336.0
2026-01,2026-01-12,227199027273365,275.0,288.75
2026-01,2026-01-12,227182726082390,210.0,220.5
2026-01,2026-01-12,227176010679960,179.0,187.95
2026-01,2026-01-13,227270803323858,540.0,567.0
2026-01,2026-01-13,227287159178523,455.0,477.75
2026-01,2026-01-13,227254030390967,365.0,383.25
2026-01,2026-01-14,227360217156572,335.0,351.75
2026-01,2026-01-14,227342699536622,275.0,288.75
2026-01,2026-01-15,227453073710629,1150.0,1207.5
2026-01,2026-01-15,227456904931286,1064.0,1117.2
2026-01,2026-01-15,227430800823878,325.0,341.25
2026-01,2026-01-16,227533303526437,550.0,577.5
2026-01,2026-01-16,227546552199273,545.0,572.25
2026-01,2026-01-16,227533397867776,435.0,456.75
2026-01,2026-01-16,227529197766634,385.0,404.25
2026-01,2026-01-16,227529587498055,375.0,393.75
2026-01,2026-01-16,227514392669097,275.0,288.75
2026-01,2026-01-16,227542324550000,225.0,236.25
2026-01,2026-01-17,227615604261798,215.0,225.75
2026-01,2026-01-18,227696078597369,684.0,718.2
2026-01,2026-01-18,227696987365310,275.0,288.75
2026-01,2026-01-19,227776429125821,610.0,640.5
2026-01,2026-01-19,227783671290752,539.0,565.95
2026-01,2026-01-20,227876368494861,565.0,593.25
2026-01,2026-01-20,227887196871040,320.0,336.0
2026-01,2026-01-20,227859136607108,275.0,288.75
2026-01,2026-01-21,227944580071497,1350.0,1417.5
2026-01,2026-01-21,227973609559318,760.0,798.0
2026-01,2026-01-21,227976540248444,584.0,613.2
2026-01,2026-01-21,227975973322088,515.0,540.75
2026-01,2026-01-21,227979709391035,420.0,441.0
2026-01,2026-01-21,227978793176084,325.0,341.25
2026-01,2026-01-21,227961485689669,225.0,236.25
2026-01,2026-01-22,228044937316166,680.0,714.0
2026-01,2026-01-22,228067677082682,615.0,645.75
2026-01,2026-01-22,228067916463662,504.0,529.2
2026-01,2026-01-22,228055434777820,335.0,351.75
2026-01,2026-01-22,228055081699880,275.0,288.75
2026-01,2026-01-22,228040248068708,275.0,288.75
2026-01,2026-01-23,228144057692020,895.0,939.75
2026-01,2026-01-23,228134263862006,335.0,351.75
2026-01,2026-01-23,228149908775717,295.0,309.75
2026-01,2026-01-25,228319537227021,970.0,1018.5
2026-01,2026-01-25,228304733334575,725.0,761.25
2026-01,2026-01-25,228318581685306,670.0,703.5
2026-01,2026-01-25,228324805311042,404.0,424.2
2026-01,2026-01-25,228323523443803,395.0,414.75
2026-01,2026-01-26,228401014655732,900.0,945.0
2026-01,2026-01-26,228376306961474,795.0,834.75
2026-01,2026-01-26,228410077453050,600.0,630.0
2026-01,2026-01-26,228383014958873,515.0,540.75
2026-01,2026-01-26,228393002435077,505.0,530.25
2026-01,2026-01-26,228397277543362,275.0,288.75
2026-01,2026-01-27,228465846697606,515.0,540.75
2026-01,2026-01-28,228566644297510,780.0,819.0
2026-01,2026-01-28,228554932525780,550.0,577.5
2026-01,2026-01-28,228582014285276,395.0,414.75
2026-01,2026-01-29,228665782844207,949.0,996.45
2026-01,2026-01-29,228667433540558,545.0,572.25
2026-01,2026-01-30,228749969817600,820.0,861.0
2026-01,2026-01-30,228727232911630,755.0,792.75
2026-01,2026-01-30,228751368306177,620.0,651.0
2026-01,2026-01-30,228759595928217,610.0,640.5
2026-01,2026-01-30,228758100597976,325.0,341.25
2026-01,2026-01-30,228722758470049,325.0,341.25
2026-01,2026-01-31,228845367837974,370.0,388.5
2026-01,2026-01-31,228832209241271,305.0,320.25
2026-01,2026-01-31,228827508326047,275.0,288.75
2026-01,2026-01-31,228835506810378,225.0,236.25
