Month_code,Order_Date,Order_Type,Orders,Net_Amount,Gross_Amount
2026-01,2026-01-01,Delivery,9,2924.0,3070.2
2026-01,2026-01-02,Delivery,3,1282.0,1346.1000000000001
2026-01,2026-01-03,Delivery,4,2520.0,2646.0
2026-01,2026-01-04,Delivery,7,3470.0,3643.5
2026-01,2026-01-05,Delivery,3,1025.0,1076.25
2026-01,2026-01-06,Delivery,5,4157.0,4364.85
2026-01,2026-01-07,Delivery,4,1609.0,1689.45
2026-01,2026-01-08,Delivery,3,1689.0,1773.45
2026-01,2026-01-09,Delivery,3,775.0,813.75
2026-01,2026-01-10,Delivery,8,5289.0,5553.45
2026-01,2026-01-11,Delivery,6,2403.0,2523.15
2026-01,2026-01-12,Delivery,7,2798.0,2937.8999999999996
2026-01,2026-01-13,Delivery,3,1360.0,1428.0
2026-01,2026-01-14,Delivery,2,610.0,640.5
2026-01,2026-01-15,Delivery,3,2539.0,2665.95
2026-01,2026-01-16,Delivery,7,2790.0,2929.5
2026-01,2026-01-17,Delivery,1,215.0,225.75
2026-01,2026-01-18,Delivery,2,959.0,1006.95
2026-01,2026-01-19,Delivery,2,1149.0,1206.45
2026-01,2026-01-20,Delivery,3,1160.0,1218.0
2026-01,2026-01-21,Delivery,7,4179.0,4387.95
2026-01,2026-01-22,Delivery,6,2684.0,2818.2
2026-01,2026-01-23,Delivery,3,1525.0,1601.25
2026-01,2026-01-25,Delivery,5,3164.0,3322.2
2026-01,2026-01-26,Delivery,6,3590.0,3769.5
2026-01,2026-01-27,Delivery,1,515.0,540.75
2026-01,2026-01-28,Delivery,3,1725.0,1811.25
2026-01,2026-01-29,Delivery,2,1494.0,1568.7
2026-01,2026-01-30,Delivery,6,3455.0,3627.75
2026-01,2026-01-31,Delivery,4,1175.0,1233.75
