Year-Month,start_date,end_date,AOV,number_of_orders,Swiggy Marketing %,Swiggy Total commission%,Loocos Recieved%,Loocos Amount,Marketing Charges,payout_date,Source File
2026-02,2026-02-15 13:40:30,2026-02-21 20:17:09,350.0,28,4.1%,29.16%,67.27%,9811.0,599.0,2026-02-25,invoice Annexure_708466_25022026_1772031831108.xlsx
2026-02,2026-02-08 15:01:03,2026-02-14 21:34:14,367.0,26,4.3%,34.58%,65.42%,9538.0,639.0,2026-02-18,invoice Annexure_708466_18022026_1771416405791.xlsx
2026-02,2026-02-01 17:22:58,2026-02-07 20:42:45,314.0,23,7.3%,36.64%,63.36%,7224.0,823.0,2026-02-11,invoice Annexure_708466_11022026_1770803259503.xlsx
2026-01,2026-01-25 15:28:53,2026-01-31 21:39:27,389.0,28,6.4%,32.41%,67.59%,10903.0,1015.0,2026-02-04,invoice Annexure_708466_04022026_1770201001536.xlsx
2026-01,2026-01-18 14:24:38,2026-01-23 20:28:28,344.0,23,7.0%,33.77%,66.23%,7920.0,817.0,2026-01-28,invoice Annexure_708466_28012026_1769593665631.xlsx
2026-01,2026-01-11 13:19:34,2026-01-17 16:03:24,291.0,29,7.1%,35.99%,64.01%,8433.0,903.0,2026-01-21,invoice Annexure_708466_21012026_1768989344158.xlsx
2026-01,2026-01-04 12:03:37,2026-01-10 20:55:19,378.0,33,6.4%,32.84%,67.16%,12476.0,1155.0,2026-01-14,invoice Annexure_708466_14012026_1768383358468.xlsx
2026-01,2026-01-01 12:40:26,2026-01-03 20:40:29,309.0,16,2.1%,27.65%,72.35%,4943.0,140.0,2026-01-07,invoice Annexure_708466_07012026_1767785994034.xlsx
2025-12,2025-12-28 17:14:05,2025-12-31 19:42:50,462.0,25,3.7%,29.57%,70.43%,11548.0,598.0,2026-01-03,invoice Annexure_708466_03012026_1767461554293.xlsx
2025-12,2025-12-14 18:18:39,2025-12-20 19:40:39,537.0,27,3.7%,30.31%,69.69%,14504.0,742.0,2025-12-24,invoice Annexure_708466_24122025_1766571078215.xlsx
