Date,UPI-Statement,UPI-Cashbook,UPI - Match?,CARD-Statement,CARD-Cashbook,Card - Match?
2026-02-28,8705.0,8705.0,,0.0,0.0,
2026-02-27,9558.0,9558.0,,0.0,0.0,
2026-02-26,4597.0,4597.0,,1275.0,1275.0,
2026-02-25,2589.0,2589.0,,0.0,0.0,
2026-02-24,6379.0,6254.0,Cashbook has lesser value by 125.0,608.0,608.0,
2026-02-23,5902.0,5902.0,,0.0,0.0,
2026-02-22,13809.0,13809.0,,686.0,686.0,
2026-02-21,11558.0,11558.0,,0.0,0.0,
2026-02-20,9171.0,9171.0,,2703.0,2703.0,
2026-02-19,5475.0,5475.0,,0.0,0.0,
2026-02-18,10556.0,10556.0,,0.0,0.0,
2026-02-17,5991.0,5991.0,,0.0,0.0,
2026-02-16,11573.0,11573.0,,0.0,0.0,
2026-02-15,11336.0,11336.0,,1498.0,1498.0,
2026-02-14,7805.0,7805.0,,2572.0,2572.0,
2026-02-13,8819.0,8819.0,,0.0,0.0,
2026-02-12,5872.0,5872.0,,524.0,524.0,
2026-02-11,4632.0,4632.0,,0.0,0.0,
2026-02-10,11746.0,11746.0,,0.0,0.0,
2026-02-09,9621.0,9621.0,,399.0,399.0,
2026-02-08,12492.0,12492.0,,524.0,524.0,
2026-02-07,14468.0,14468.0,,0.0,0.0,
2026-02-06,7603.0,7603.0,,0.0,0.0,
2026-02-05,12096.0,12096.0,,0.0,0.0,
2026-02-04,6190.0,6190.0,,0.0,0.0,
2026-02-03,8223.0,8223.0,,0.0,0.0,
2026-02-02,3854.0,3854.0,,2042.0,2042.0,
2026-02-01,11365.0,11365.0,,0.0,0.0,
2026-01-31,10017.0,10017.0,,0.0,0.0,
2026-01-30,5525.0,5525.0,,499.0,499.0,
2026-01-29,11962.0,11962.0,,2543.0,2543.0,
2026-01-28,7969.0,7969.0,,1080.0,1080.0,
2026-01-27,3751.0,3751.0,,356.0,356.0,
2026-01-26,9392.0,9392.0,,0.0,0.0,
2026-01-25,15224.0,15099.0,Cashbook has lesser value by 125.0,3663.0,3663.0,
2026-01-24,14939.0,14939.0,,922.0,922.0,
2026-01-23,8804.0,8804.0,,0.0,0.0,
2026-01-22,6616.0,6616.0,,0.0,0.0,
2026-01-21,8478.0,8478.0,,0.0,0.0,
2026-01-20,12819.0,12819.0,,0.0,0.0,
2026-01-19,7127.0,7127.0,,1240.0,1240.0,
2026-01-18,10402.0,10402.0,,1645.0,1645.0,
2026-01-17,10393.0,10393.0,,2540.0,2540.0,
2026-01-16,5862.0,5862.0,,0.0,0.0,
2026-01-15,13441.0,13441.0,,0.0,0.0,
2026-01-14,7404.0,7404.0,,0.0,499.0,Cashbook has greater value by 499.0
2026-01-13,7138.0,7158.0,Cashbook has greater value by 20.0,0.0,0.0,
2026-01-12,9845.0,9845.0,,0.0,0.0,
2026-01-11,10291.0,10291.0,,0.0,0.0,
2026-01-10,15510.0,15510.0,,1033.0,1033.0,
2026-01-09,12224.0,12224.0,,1058.0,1058.0,
2026-01-08,5483.0,5483.0,,0.0,0.0,
2026-01-07,12731.0,12731.0,,95.0,95.0,
2026-01-06,7808.0,7808.0,,788.0,788.0,
2026-01-05,5441.0,5441.0,,0.0,0.0,
2026-01-04,15535.0,15535.0,,0.0,0.0,
2026-01-03,11385.0,11385.0,,0.0,0.0,
2026-01-02,11042.0,11042.0,,0.0,0.0,
2026-01-01,20651.0,20651.0,,0.0,0.0,
