Date,UPI-Statement,UPI-Cashbook,UPI - Match?,CARD-Statement,CARD-Cashbook,Card - Match?
2026-01-25,15224.0,15099.0,Cashbook has lesser value by 125.0,3663.0,3663.0,
2026-01-14,7404.0,7404.0,,0.0,499.0,Cashbook has greater value by 499.0
2026-01-13,7138.0,7158.0,Cashbook has greater value by 20.0,0.0,0.0,
2025-12-30,13426.0,13426.0,,0.0,4495.0,Cashbook has greater value by 4495.0
2025-12-29,13961.0,13961.0,,0.0,1821.0,Cashbook has greater value by 1821.0
2025-12-28,14171.0,14171.0,,0.0,1111.0,Cashbook has greater value by 1111.0
2025-12-27,14148.0,14023.0,Cashbook has lesser value by 125.0,0.0,404.0,Cashbook has greater value by 404.0
2025-12-26,10757.0,10757.0,,0.0,1159.0,Cashbook has greater value by 1159.0
2025-12-25,20861.0,20861.0,,0.0,1652.0,Cashbook has greater value by 1652.0
2025-12-24,17481.0,17481.0,,0.0,1016.0,Cashbook has greater value by 1016.0
2025-12-23,11208.0,11208.0,,0.0,566.0,Cashbook has greater value by 566.0
2025-12-22,7853.0,7853.0,,0.0,1248.0,Cashbook has greater value by 1248.0
2025-12-21,15327.0,15327.0,,0.0,1002.0,Cashbook has greater value by 1002.0
2025-12-20,9868.0,9868.0,,0.0,1107.0,Cashbook has greater value by 1107.0
2025-12-19,8825.0,8825.0,,0.0,362.0,Cashbook has greater value by 362.0
2025-12-18,4995.0,4995.0,,0.0,538.0,Cashbook has greater value by 538.0
2025-12-14,11482.0,11482.0,,0.0,1046.0,Cashbook has greater value by 1046.0
2025-12-13,18053.0,18053.0,,0.0,1797.0,Cashbook has greater value by 1797.0
2025-12-12,10596.0,10596.0,,0.0,858.0,Cashbook has greater value by 858.0
2025-12-10,11473.0,11473.0,,0.0,2035.0,Cashbook has greater value by 2035.0
2025-12-08,10904.0,10904.0,,0.0,600.0,Cashbook has greater value by 600.0
2025-12-05,10474.0,10474.0,,0.0,1050.0,Cashbook has greater value by 1050.0
2025-12-03,11507.0,11507.0,,0.0,1457.0,Cashbook has greater value by 1457.0
2025-12-02,9801.0,9676.0,Cashbook has lesser value by 125.0,0.0,1058.0,Cashbook has greater value by 1058.0
2025-10-30,12001.0,12001.0,,0.0,1137.0,Cashbook has greater value by 1137.0
2025-10-28,8165.0,8165.0,,0.0,1245.0,Cashbook has greater value by 1245.0
2025-10-26,8695.0,8695.0,,0.0,2774.0,Cashbook has greater value by 2774.0
2025-10-25,12463.0,12463.0,,0.0,2467.0,Cashbook has greater value by 2467.0
2025-10-24,10637.0,10637.0,,0.0,1121.0,Cashbook has greater value by 1121.0
2025-10-23,7945.0,7945.0,,0.0,198.0,Cashbook has greater value by 198.0
2025-10-20,7241.0,7241.0,,0.0,1652.0,Cashbook has greater value by 1652.0
2025-10-19,4789.0,4789.0,,0.0,5644.0,Cashbook has greater value by 5644.0
2025-10-17,7805.0,7805.0,,0.0,406.0,Cashbook has greater value by 406.0
2025-10-12,9813.0,9813.0,,0.0,596.0,Cashbook has greater value by 596.0
2025-10-10,6917.0,6917.0,,0.0,499.0,Cashbook has greater value by 499.0
2025-10-05,16807.0,16807.0,,0.0,774.0,Cashbook has greater value by 774.0
2025-10-04,11781.0,11781.0,,0.0,4727.0,Cashbook has greater value by 4727.0
2025-10-02,10724.0,12223.0,Cashbook has greater value by 1499.0,0.0,1412.0,Cashbook has greater value by 1412.0
2025-10-01,11135.0,11135.0,,0.0,4900.0,Cashbook has greater value by 4900.0
2025-09-16,9164.0,9039.0,Cashbook has lesser value by 125.0,1932.0,1932.0,
2025-08-25,8521.0,8521.0,,346.0,345.0,Cashbook has lesser value by 1.0
2025-06-21,12256.0,12256.0,,499.0,1388.0,Cashbook has greater value by 889.0
2025-05-30,10546.0,10546.0,,0.0,1613.0,Cashbook has greater value by 1613.0
2025-05-29,13633.0,13633.0,,0.0,948.0,Cashbook has greater value by 948.0
2025-05-27,5749.0,5749.0,,0.0,110.0,Cashbook has greater value by 110.0
2025-05-25,6985.0,6985.0,,0.0,198.0,Cashbook has greater value by 198.0
2025-05-21,11797.0,11797.0,,0.0,786.0,Cashbook has greater value by 786.0
2025-05-20,3658.0,3658.0,,0.0,3758.0,Cashbook has greater value by 3758.0
2025-05-19,5148.0,5148.0,,0.0,681.0,Cashbook has greater value by 681.0
2025-05-18,9101.0,9101.0,,0.0,1090.0,Cashbook has greater value by 1090.0
2025-05-17,7811.0,7811.0,,0.0,855.0,Cashbook has greater value by 855.0
