Sales date,Amount,Cash Recieved Date,Deposits
2026-02-28,8705.0,2026-02-28,8705.0
2026-02-27,9558.0,2026-02-27,9558.0
2026-02-26,4597.0,2026-02-26,4597.0
2026-02-25,2589.0,2026-02-25,2589.0
2026-02-24,6379.0,,
2026-02-23,5902.0,2026-02-23,5902.0
2026-02-22,13809.0,2026-02-22,13809.0
2026-02-21,11558.0,2026-02-21,11558.0
2026-02-20,9171.0,2026-02-20,9171.0
2026-02-19,5475.0,2026-02-19,5475.0
2026-02-18,10556.0,2026-02-18,10556.0
2026-02-17,5991.0,2026-02-17,5991.0
2026-02-16,11573.0,2026-02-16,11573.0
2026-02-15,11336.0,2026-02-15,11336.0
2026-02-14,7805.0,2026-02-14,7805.0
2026-02-13,8819.0,2026-02-13,8819.0
2026-02-12,5872.0,2026-02-12,5872.0
2026-02-11,4632.0,2026-02-11,4632.0
2026-02-10,11746.0,2026-02-10,11746.0
2026-02-09,9621.0,2026-02-09,9621.0
2026-02-08,12492.0,2026-02-08,12492.0
2026-02-07,14468.0,2026-02-07,14468.0
2026-02-06,7603.0,2026-02-06,7603.0
2026-02-05,12096.0,2026-02-05,12096.0
2026-02-04,6190.0,2026-02-04,6190.0
2026-02-03,8223.0,2026-02-04,8223.0
2026-02-02,3854.0,2026-02-02,3854.0
2026-02-01,11365.0,2026-02-01,11365.0
2026-01-31,10017.0,2026-01-31,10017.0
2026-01-30,5525.0,2026-01-30,5525.0
2026-01-29,11962.0,2026-01-29,11962.0
2026-01-28,7969.0,2026-01-28,7969.0
2026-01-27,3751.0,2026-01-28,3751.0
2026-01-26,9392.0,2026-01-27,9392.0
2026-01-25,15224.0,,
2026-01-24,14939.0,2026-01-24,14939.0
2026-01-23,8804.0,2026-01-24,8804.0
2026-01-22,6616.0,2026-01-22,6616.0
2026-01-21,8478.0,2026-01-21,8478.0
2026-01-20,12819.0,2026-01-20,12819.0
2026-01-19,7127.0,2026-01-19,7127.0
2026-01-18,10402.0,2026-01-18,10402.0
2026-01-17,10393.0,2026-01-17,10393.0
2026-01-16,5862.0,2026-01-16,5862.0
2026-01-15,13441.0,2026-01-15,13441.0
2026-01-14,7404.0,2026-01-14,7404.0
2026-01-13,7138.0,2026-01-13,7138.0
2026-01-12,9845.0,2026-01-12,9845.0
