Sales date,Amount,Cash Recieved Date,Deposits
2026-01-31,10017.0,,
2026-01-30,5525.0,,
2026-01-29,11962.0,,
2026-01-28,7969.0,,
2026-01-27,3751.0,,
2026-01-26,9392.0,,
2026-01-25,15224.0,,
2026-01-24,14939.0,,
2026-01-23,8804.0,,
2026-01-22,6616.0,,
2026-01-21,8478.0,,
2026-01-20,12819.0,,
2026-01-19,7127.0,,
2026-01-18,10402.0,,
2026-01-17,10393.0,,
2026-01-16,5862.0,,
2026-01-15,13441.0,,
2026-01-14,7404.0,,
2026-01-13,7138.0,,
2026-01-12,9845.0,,
2026-01-11,10291.0,,
2026-01-10,15510.0,,
2026-01-09,12224.0,,
2026-01-08,5483.0,,
2026-01-07,12731.0,,
2026-01-06,7808.0,,
2026-01-05,5441.0,,
2026-01-04,15535.0,,
2026-01-03,11385.0,,
2026-01-02,11042.0,,
2026-01-01,20651.0,,
2025-12-31,18913.0,,
2025-12-30,13426.0,,
2025-12-29,13961.0,,
2025-12-28,14171.0,,
2025-12-27,14148.0,,
2025-12-26,10757.0,,
2025-12-25,20861.0,,
2025-12-24,17481.0,,
2025-12-23,11208.0,,
2025-12-22,7853.0,,
2025-12-21,15327.0,,
2025-12-20,9868.0,,
2025-12-19,8825.0,,
2025-12-18,4995.0,,
2025-12-17,3622.0,,
2025-12-16,6701.0,,
2025-12-15,8050.0,,
2025-12-14,11482.0,,
2025-12-13,18053.0,,
2025-12-12,10596.0,,
2025-12-11,10714.0,,
2025-12-10,11473.0,,
2025-12-09,6000.0,,
2025-12-08,10904.0,,
2025-12-07,5271.0,,
2025-12-06,7335.0,,
2025-12-05,10474.0,,
2025-12-04,7695.0,,
2025-12-03,11507.0,,
2025-12-02,9801.0,,
2025-12-01,5034.0,,
2025-11-30,12243.0,,
2025-11-29,7705.0,,
2025-11-28,7945.0,,
2025-11-27,9866.0,,
2025-11-26,13109.0,,
2025-11-25,4253.0,,
2025-11-24,6329.0,,
2025-11-23,10954.0,,
2025-11-22,12340.0,,
2025-11-21,8078.0,,
2025-11-20,8658.0,,
2025-11-19,36183.0,,
2025-11-18,6064.0,,
2025-11-17,9426.0,,
2025-11-16,14689.0,,
2025-11-15,8096.0,,
2025-11-14,5968.0,,
2025-11-13,10760.0,,
2025-11-12,8040.0,,
2025-11-11,11273.0,,
2025-11-10,4499.0,,
2025-11-09,9843.0,,
2025-11-08,12789.0,,
2025-11-07,6956.0,,
2025-11-06,5830.0,,
2025-11-05,4756.0,,
2025-11-04,5682.0,,
2025-11-03,9600.0,,
2025-11-02,11637.0,,
2025-11-01,7122.0,,
2025-10-31,7533.0,,
2025-10-30,12001.0,,
2025-10-29,10217.0,,
2025-10-28,8165.0,,
2025-10-27,7146.0,,
2025-10-26,8695.0,,
2025-10-25,12463.0,,
2025-10-24,10637.0,,
2025-10-23,7945.0,,
2025-10-22,12117.0,,
2025-10-21,13140.0,,
2025-10-20,7241.0,,
2025-10-19,4789.0,,
2025-10-18,10633.0,,
2025-10-17,7805.0,,
2025-10-16,6654.0,,
2025-10-15,9628.0,,
2025-10-14,8861.0,,
2025-10-13,4819.0,,
2025-10-12,9813.0,,
2025-10-11,9071.0,,
2025-10-10,6917.0,,
